P096	-2.2502115	-2.1637478
P043	-0.37127158	-3.4216943
P062	-2.7828438	-3.5541403
P068	-2.634752	-2.7591298
P069	1.6579074	-2.7052703
P007	-2.1235793	-2.3866878
P008	-1.9886553	-2.8852322
P012	-2.0480514	-2.2315478
P018	-3.149332	-3.3350008
P021	-2.1743379	-3.3557107
P023	-1.979646	-2.8616674
P030	-1.9402469	-2.5194066
P034	0.6651899	-1.3465189
P042	1.6547238	-2.7009027
P059	-0.9426999	-0.696492
P050	-2.1444926	-2.1339288
P011	-2.656638	-2.8261638
P052	-2.149251	-3.2706494
P027	1.4614652	-7.8034396
P037	-3.1277041	-3.370824
P032	-2.683355	-2.8699925
P109	-2.453932	-3.5355074
P075	0.7197285	-8.520247
P002	0.650332	-6.8752027
P097	-2.2459455	-3.3823168
P041	-2.2981703	-2.1707335
P055	-2.9965603	-3.3895485
P040	-1.9465666	-2.5196898
P044	-4.022919	-0.67463106
P049	0.9152118	-7.2045293
P053	-2.6567647	-2.826314
P060	-2.7895682	-3.5554647
P014	-3.3570704	-2.9959683
P026	-2.7547574	-2.0727458
P006	-2.7885616	-2.0821989
P067	-3.042316	-2.2187994
P017	-3.1629379	-2.257652
P046	-3.03498	-2.2971563
P057	-3.1241727	-2.251128
P105	1.6650156	-2.6978507
P070	0.7232151	-8.50441
P061	-0.48316032	-3.4183233
P028	-2.8697352	-2.1473234
P009	-3.3624759	-2.5813427
P031	1.0953727	-7.516236
P101	-3.3473039	-2.563955
P110	-2.7599034	-0.07813956
P003	-2.5022378	-0.0147346025
P047	-3.3465295	-2.5624475
P056	-2.7597437	-2.0794814
P004	1.6589696	-2.7046208
P005	-0.96315485	-0.67973226
P010	1.6590049	-2.7097912
P013	-3.3521132	-2.5541341
P015	-1.8460879	-2.9284747
P016	-1.9792632	-2.943031
P022	-2.4318552	-2.0446706
P029	-3.3689384	-2.9687698
P035	-2.4463725	-2.0403214
P036	-2.6045744	-2.021502
P102	-3.393555	-2.67482
P058	-1.4952475	-3.1218657
P065	-3.387434	-2.924723
P108	-3.3690977	-2.9686615
P104	-2.1347184	-3.2579482
P107	0.67028254	-1.3652223
P019	-0.74457717	-3.3550372
P025	1.4848564	-7.821509
P054	-2.2053685	-3.403236
P099	-2.6219857	-2.7556152
P074	-2.978311	-0.1648227
P095	-3.0164955	-0.16853169
P051	1.6935213	-7.9884095
P100	-3.0896075	-3.384451
P045	-2.6567662	-2.826309
P103	-1.9491901	-2.5072608
P076	-4.077061	-1.5161765
P024	-2.346032	0.024880702
P048	-2.7896507	-3.5554857
P066	1.3478479	-7.6708584
P063	-3.2814188	-3.1817627
P114	1.5173658	-7.8350425
P090	1.5047222	-7.813484
P113	-1.9462385	-2.5098307
P038	-3.1541336	-3.3300002
P078	1.5679117	-7.9233756
P082	-2.6567318	-2.8262742
P087	-2.124132	-3.2172668
P088	1.5574374	-7.924874
P039	-2.3926399	-3.5128992
P001	-4.022306	-0.7315298
P080	0.6689563	-1.3546298
P106	0.6691289	-1.3601005
P081	0.6669198	-1.355194
P084	1.5627842	-7.934264
P033	-2.2083695	-2.2178988
P092	-1.639265	-5.3150244
P077	-1.6236304	-5.3766513
P071	-2.423603	-3.5233195
P083	1.399321	-7.7254677
P085	1.5678489	-7.9194264
P086	1.6340407	-7.938793
P072	0.6672988	-8.505638
P091	-2.8315747	-3.5520635
P112	1.2518643	-7.548991
P093	1.213555	-7.5140963
P094	1.2178262	-7.5144315
P073	-1.9314222	-2.7140772
P079	1.2404377	-7.54628
P111	-2.6567612	-2.8263042
P089	1.3111699	-7.6157317
P064	-3.0581632	-2.2110221
