label	ITGB6	GALNT3	BRI3BP	MCM5	DTX3L
1	2.605270863	1.857221484	0.650449395	-0.140429392	1.656651139
0	0.553615332	0.690769196	-0.530681789	-1.093622208	1.02484858
1	0.525591493	1.892415762	0.241122365	-0.484492213	1.453149199
0	0.375937968	0.034336179	-0.490155607	-1.111984849	1.472124457
1	1.703972697	2.265035391	0.764425576	-0.220030338	2.120051384
0	1.427289605	0.527900934	-0.93426621	-0.798782587	0.990023077
1	3.526041269	2.090191364	0.720657647	0.460191607	1.968382478
0	1.092010021	0.729927361	-1.28927803	-0.884507656	0.795610428
1	2.860554934	2.258816719	0.642317295	-0.107306674	2.061696291
0	1.210931063	0.790523827	-0.618857026	-1.034106016	0.774441123
1	1.615009069	1.131509781	-0.139464378	-0.685423672	1.020363569
0	0.831528783	0.733782053	-1.020600677	-1.092200518	0.686551213
1	0.808137655	1.717476845	0.024177231	-0.082864985	1.877280951
0	3.383014679	1.029591441	-0.090512887	-0.475275874	1.406782508
1	1.148680568	0.375193417	-0.413034916	-0.749809504	0.698543668
0	0.349651396	0.790035665	-0.433271646	-1.301727772	0.752598822
1	1.183021069	0.41829282	-0.664151788	-0.729785681	1.447991371
0	0.913464665	0.199769974	-0.263789415	-1.164383173	0.698741913
1	2.183815718	0.674947739	0.155947506	-0.929277539	1.223280311
0	0.020454586	0.771936595	-0.812644422	-1.416589499	0.451995105
1	2.425533056	1.161413431	0.239010438	-0.552838087	1.699391127
0	0.404635727	-0.072267175	-0.453660369	-1.186665893	0.575400651
1	3.238819122	2.457575083	0.376603484	-0.907528043	0.871050417
0	0.596450686	0.182649672	-0.453405738	-1.209233761	0.468422353
1	2.345089436	1.301730156	0.306911409	-0.560117781	2.049782753
0	1.222113252	0.345504731	-0.235984653	-1.412566662	0.441471875
1	4.214796066	1.034073353	0.581771314	-0.13117224	1.486831784
0	2.081470966	0.6378631	0.064450979	-1.342335701	0.974503636
1	3.575591564	0.174084276	0.5042665	-0.592792928	1.391599059
0	0.827051878	0.239407867	-0.250832886	-1.300690055	0.617291391
1	1.851563454	0.923407435	0.093150392	-0.317087084	1.039503694
0	0.958620846	0.228082597	-0.220686853	-1.355481863	0.792473614
1	2.275884867	0.513775945	-0.09446454	-0.932935476	1.172972918
0	1.096270323	-0.434524596	-0.855429947	-1.257159472	0.843210638
1	3.892362118	1.569411755	-0.194175318	0.232886404	1.315937638
0	0.66558516	-0.479119092	-1.510790467	-1.590957999	0.18118462
1	1.078791142	0.833619893	-0.074658446	-0.966740668	1.299019217
0	0.669125915	-0.589185536	-1.23631382	-1.591658831	0.160563439
1	2.246473551	0.277859122	-0.005031899	-0.457252324	1.364205718
0	0.542878628	-0.550765991	-1.054347038	-1.592305183	0.368989646
1	0.556940556	0.894950986	-0.472665548	-0.805387199	1.439448833
0	0.91090858	0.334798396	-0.901814818	-1.130912662	0.449795425
1	2.872344255	1.139262319	0.470661402	-0.04136996	1.078854561
0	0.464064956	0.359128952	-1.127161741	-1.033673525	0.366375804
1	2.430749178	1.070204258	-0.34305197	-0.459632695	1.308103323
0	2.071011305	1.321160793	-0.241072237	-0.970198989	1.162038088
1	1.117232442	0.345376134	-0.852166653	-1.044886231	0.560323119
0	3.812979698	1.753051996	-0.227976784	0.691809714	2.705968857
1	0.775024116	0.554796696	-0.340253741	-1.111733079	0.780552268
0	0.807777405	0.408695877	-0.714096904	-1.051758051	0.685898304
1	3.105444193	1.898141026	0.744313598	-0.249848783	1.872141004
0	0.275676817	0.534809351	-1.238690138	-1.116838336	0.488274395
1	4.272132397	2.703753948	1.035694242	0.209917992	2.714698792
0	0.74166733	1.685458422	-1.094727039	-1.118085146	0.711469889
1	0.906170428	1.776729822	0.308688223	-0.327519387	1.157894731
0	0.706294358	0.400947243	-0.92790103	-1.229060411	0.866197705
1	1.604479074	1.261008739	-0.125324011	-0.450943887	1.064446807
0	2.067932367	1.406388521	0.492752165	0.022092447	1.892150402
1	1.080698133	0.736194491	-0.48759833	-1.082834005	0.805199027
0	2.549305439	1.756385446	-0.393042475	-0.19453454	1.715685248
1	1.741179705	1.569374084	-0.23233968	-0.512473702	1.055356264
0	0.87869817	-0.763870716	-0.325838447	-0.774726272	0.871423066
1	0.966028631	-0.104675323	-0.483926952	-0.44236052	1.703723669
0	1.131399632	-0.645640731	-0.857726812	-0.750676394	0.920821905
1	2.417272568	0.00653813	0.053879671	-0.165222391	1.941027761
0	3.045737028	-0.237170517	-0.615139902	-1.097922087	1.460994482
1	1.833888054	-0.676470935	-0.206712782	-1.149541616	1.827813148
0	0.254046321	-0.991062045	-1.422973633	-1.201241255	1.136333227
1	3.015618801	-0.280761421	-0.110768385	-0.068712085	1.534964204
0	0.677831292	-0.534528255	-0.943582475	-1.017713308	1.383582354
1	3.551721811	0.045483604	1.117907286	-0.625816524	1.763022184
