label	ITGB6	MCM6	HIST1H2BL	PARP9
1	1.311779022	0.213542163	-0.368314475	0.593139112
0	0.49407956	-0.703415632	-1.859233022	-0.012696296
1	1.766404152	0.113740169	-1.119370937	0.49343732
0	0.827760339	-0.553915501	-1.265200853	0.795986474
1	1.914542794	0.106023602	-1.075722337	2.043740749
0	0.972652078	-0.716182709	-1.507428646	0.56793803
1	1.051414132	0.012679279	-0.283056736	2.182928324
0	0.785899639	-0.939888358	-0.818824649	0.49740392
1	2.798596621	0.477492303	-0.525548041	1.87883997
0	0.835159838	-1.008978963	-0.838127136	0.531489313
1	1.707752347	-0.095994182	0.568494737	1.624134779
0	1.14216876	-0.447447628	-1.726708651	1.01535058
1	0.427254647	-0.470483184	-0.989961565	1.292073607
0	-0.203326046	-1.383713007	-2.179610968	0.537086248
1	0.934205055	-0.342088819	0.493322492	1.316226363
0	0.025704056	-1.317060232	-2.172623158	0.591682494
1	1.373470068	-0.807386696	-0.272892237	0.991026163
0	-0.017058194	-1.439681292	-2.14560771	0.638164222
1	2.380794048	-0.481678396	-1.220923185	1.422831655
0	-0.205191255	-1.2693156	-2.474714756	0.759756505
1	2.095681906	-0.695475936	-2.273144245	1.429035902
0	0.042051226	-1.500345945	-2.245686054	0.700191677
1	1.382383585	-0.382499933	0.680743814	1.324738622
0	1.644516945	-0.999068737	-1.485926867	1.226471663
1	1.293293357	-0.131376371	-1.970668554	1.717007875
0	0.735213757	-1.124911308	-1.688215733	0.91197741
1	0.87559998	-0.206908152	-1.448937178	2.093380213
0	1.389722109	-0.914905071	-2.504365921	0.815580845
1	1.757023573	0.145025074	0.023969879	1.643604636
0	0.755096078	-1.087072253	-1.523204207	1.261720181
1	2.222708225	0.139823809	-0.908866286	1.701210022
0	1.511705756	-1.015742898	-2.161953449	1.168106079
1	0.876603842	-0.60699451	0.60803175	1.718577743
0	1.312304497	-1.208962202	-1.711039186	1.343772292
1	3.22437501	0.300154954	-1.181177974	2.960506678
0	1.522442102	-0.999821544	-2.367482185	1.20335722
1	3.51038456	-0.330486417	-1.33890152	1.570205212
0	1.31445694	-1.201982021	-1.949150801	1.483372092
1	3.668326855	-0.398276329	-0.963626027	1.416125894
0	1.438143969	-1.315907001	-0.595327139	1.264277577
1	3.162819862	-0.02960144	0.226571396	2.638024807
0	2.060482502	-0.980890632	-0.894706845	1.705115557
1	3.386044264	0.143706545	0.302482635	2.484716654
0	0.255840391	-1.566648722	-0.970730782	0.609254658
1	1.703639269	0.601237893	-0.330916464	1.313526869
0	0.362104177	-1.607277632	-0.287287593	0.603865623
1	2.531538963	0.030956566	-0.706172228	2.211717606
0	0.670817375	-1.767094612	-0.406819642	0.677289128
1	2.605270863	0.015423909	0.902345002	1.484990001
0	0.553615332	-1.564819813	-0.586994231	0.648719907
1	0.525591493	-0.638962984	0.780594826	0.921478033
0	0.375937968	-2.042510748	-0.445701629	0.558811963
1	1.703972697	0.163975388	-0.533973753	1.578784585
0	1.427289605	-0.791024089	-0.717477798	1.114795804
1	3.526041269	0.568266571	0.30321157	1.913882017
0	1.092010021	-1.094670296	-0.268864661	0.953121364
1	2.860554934	-0.064660951	0.314275384	1.823124766
0	1.210931063	-1.203446507	-1.068456531	0.793369412
1	1.615009069	-0.678536832	-0.512449026	0.725001574
0	0.831528783	-1.456469178	-1.372175694	0.61655128
1	0.808137655	-0.023703307	-0.544079185	1.716295719
0	3.383014679	-0.680175543	-0.392175436	1.175482988
1	1.148680568	-1.242679	-0.738250732	0.615205348
0	0.349651396	-1.530691028	-1.591664433	1.713745594
1	1.183021069	-0.370462954	-0.975141525	2.629143953
0	0.913464665	-1.408038139	-1.115674734	0.87267065
1	2.183815718	-0.92581737	-0.376260787	1.943580508
0	0.020454586	-1.840332508	-1.612336159	0.907292128
1	2.425533056	-0.448362201	0.236058235	2.905118465
0	0.404635727	-1.634097934	-1.805663466	0.729648054
1	3.238819122	-0.703794718	-1.637140155	2.057372093
0	0.596450686	-1.660510063	-1.907450438	0.838023841
1	2.345089436	-0.262483239	-0.802492321	3.098670959
0	1.222113252	-1.258077145	-2.323210239	0.92816031
1	4.214796066	0.017409801	-1.839277983	1.84935534
0	2.081470966	-1.331481218	-1.660390139	1.378754854
1	3.575591564	-0.690376937	-0.721689641	1.846608639
0	0.827051878	-1.125818968	-2.632015228	0.940713882
1	1.851563454	-0.142027259	-1.315740824	1.630095482
0	0.958620846	-1.089541912	-2.018963575	1.206620574
1	2.275884867	-1.021011591	-2.240199089	1.534357667
0	1.096270323	-1.134785652	-1.066830873	1.099448442
1	3.892362118	0.09745089	0.714088142	1.840763569
0	0.66558516	-1.345694661	-0.659990311	0.598028958
1	1.078791142	-1.188776493	-0.328456223	1.841646194
0	0.669125915	-1.532623529	-0.684373796	0.394217134
1	2.246473551	-0.610045075	0.029034331	1.811789513
0	0.542878628	-1.734645367	0.00118947	0.725066185
1	0.556940556	-0.808549941	-0.596278906	1.843182325
0	0.91090858	-1.146952748	-1.10035181	0.787757456
1	2.872344255	-0.086498797	-0.226856604	1.527748823
0	0.464064956	-1.037464142	-1.827254295	0.12907052
1	2.430749178	-0.486791074	-1.222023487	0.875772476
0	2.071011305	-1.016937494	0.146270424	0.704793096
1	1.117232442	-0.992719769	-0.990590215	0.153252721
0	3.812979698	0.651966035	-1.975897908	1.904296279
1	0.775024116	-1.098021865	-0.045225292	0.393355757
0	0.807777405	-1.159380198	-1.736772537	0.404458284
1	3.105444193	-0.379147738	-0.663731694	1.334992886
0	0.275676817	-0.81106317	-1.646391034	0.427042723
1	4.272132397	0.184237227	-0.800591826	2.063791037
0	0.74166733	-0.73286432	-1.621599436	0.706063271
1	0.906170428	-0.194270715	0.160891354	0.890135288
0	0.706294358	-0.761507511	-1.428735733	0.639480233
1	1.604479074	-0.095466435	-0.951811612	0.774754107
0	2.067932367	-0.05961968	-0.942479551	1.295767546
1	1.080698133	-0.803971887	-0.981892467	0.469875276
0	2.549305439	-0.095495418	-0.092091694	1.153669357
1	1.741179705	0.080601096	-0.804206729	0.4930242
0	0.87869817	-0.850426912	-0.694830656	0.654920757
1	0.966028631	-0.490749002	0.006375521	1.381168127
0	1.131399632	-1.070021033	-0.633117199	0.972274005
1	2.417272568	-0.153223708	0.760608852	1.48573637
0	3.045737028	-1.560353756	-1.253000498	1.027405024
1	1.833888054	-1.570449591	-0.618770361	1.597692251
0	0.254046321	-1.133634686	-0.41711998	0.961832285
1	3.015618801	-0.071713395	0.463312536	1.399249673
0	0.677831292	-1.279240847	-0.558266282	1.247413039
1	3.551721811	-0.163729414	0.632493734	1.457175851
