label	MCM2	MCM3	BRI3BP	OCIAD2	DCUN1D1
1	-0.542586803	-0.563698053	-0.307829887	0.416052133	0.455425948
0	-1.441868782	-1.225110531	-1.248203754	-0.149873495	-0.232643604
1	-0.421910286	-0.09772788	0.202564657	1.52886045	0.523400307
0	-1.293477416	-1.078226447	-0.675063133	0.516555548	-0.189843804
1	0.261719167	0.066226505	0.159327924	1.784143329	0.910627365
0	-0.722809911	-1.128246307	-1.347399235	0.047433853	-0.749071717
1	-0.691440046	-0.775929749	0.003176183	1.03651011	-0.390943825
0	-0.911013126	-1.262141585	-0.686023355	0.117897332	-0.842019439
1	0.196561217	-0.068779081	0.243854493	0.855817556	0.191630065
0	-0.729848504	-1.000022292	-1.118381143	0.089312494	-1.113438249
1	1.1846174	0.873086691	1.162872076	0.677820444	0.733991265
0	-0.480275154	-0.6956743	-0.627748013	1.050057173	-1.143416405
1	-0.145133719	-0.216691151	0.143886566	0.69266057	0.152780935
0	-1.092739344	-1.104052782	-0.606754124	-1.029550076	-1.010639429
1	0.342201263	0.014569851	0.591888547	0.419159353	0.691438198
0	-0.971412301	-1.022212267	-0.279788315	-0.476959825	-0.66374743
1	0.102063328	-0.157775015	0.192043066	0.15495117	0.665576756
0	-0.96433866	-1.03516233	-0.686675787	-0.543532968	-1.173950553
1	-0.152516648	-0.346528888	0.346166134	0.745298564	0.138858646
0	-0.833296537	-1.101238966	-0.477880985	-0.504157901	-0.735363007
1	0.145388097	0.085051686	0.560275912	0.18812488	0.841304064
0	-1.043764949	-1.351489782	-0.868244648	-0.866920114	-0.898609161
1	0.127100453	-0.136593625	0.320559263	0.970001996	0.730353892
0	-0.619811296	-1.133406758	-0.856094956	-0.415420681	-0.233213931
1	-0.343841434	-0.336576283	1.070457935	-0.011560708	0.375828743
0	-0.945206344	-1.05734539	-0.491808951	-0.55915159	-0.415250599
1	-0.272859633	-0.380635083	0.280792445	0.071210131	0.350879669
0	-0.902838171	-1.212908506	-1.06663847	-0.326688349	-0.151920676
1	-0.040110949	-0.294151127	0.8086887	-0.021582533	0.727265358
0	-1.184935331	-1.38848424	-0.523564637	-0.417405725	-0.053379416
1	0.2935628	0.118723363	0.200834155	0.008014225	0.269364655
0	-0.844899654	-1.258946538	-0.724332929	-0.483498603	-0.270393759
1	0.060488887	-0.031736203	0.116807885	-0.248045981	0.599507868
0	-1.232673883	-1.111076593	-0.889006019	-0.506065369	-0.502506852
1	0.017682821	0.449137926	0.700158715	0.801344991	0.776384056
0	-1.21476841	-0.954001069	-1.067811489	-0.198867351	-0.622972846
1	-0.067004085	0.057248443	0.331717163	0.567514241	0.33918637
0	-1.402921438	-1.114673257	-0.593879938	-0.151465237	-0.303180575
1	0.346347421	0.595617771	0.424590737	0.983790576	0.294011801
0	-1.296224594	-1.04598403	-1.051281452	0.059910178	-0.676993132
1	-0.103207909	-0.13903001	0.14515987	0.144162446	0.230870306
0	-1.033479095	-0.906353831	-0.800746799	0.005877048	-0.829000473
1	-0.457559168	-0.534933507	0.546689332	0.074601278	0.283725679
0	-1.251603246	-0.86515975	-0.819830418	0.347090006	-0.565597892
1	-0.301919878	-0.370795786	0.320199966	0.38713032	0.199015245
0	-1.068050623	-0.811436176	-0.450249165	0.171996087	-1.037953496
1	-0.741312325	-0.48088944	0.521483004	0.888271928	0.200561941
0	-1.283365965	-1.022931099	-0.593669534	0.18700099	-0.595690489
1	-0.412034184	-0.50954783	0.446386546	1.328198552	0.111430317
0	-1.253643513	-1.027090669	-0.478453994	0.291175574	-0.774580359
1	-0.782125711	0.114565849	0.895461679	1.359796286	0.16722253
0	-1.008024693	-1.043087244	-0.471106738	0.084361702	-0.668401241
1	-0.289459407	-0.261719227	0.46856004	0.143462315	0.043037966
0	-0.559621453	-0.84609127	0.228787601	-1.052128315	-0.245789886
1	-0.118487015	-0.331724942	0.749332845	0.056070253	0.395985603
0	-0.882058263	-1.275958776	-0.371643752	-0.423790306	-0.369946808
1	-0.09634842	-0.444578767	0.131255239	1.108554602	0.140304223
0	-0.733336449	-1.06913054	-0.481429696	-0.463075638	-0.337335587
1	0.281230688	0.023372915	0.65558368	1.261803031	0.26058048
0	-0.781975985	-1.228274703	0.197955489	-0.158960104	-0.213877678
1	0.086620182	-0.106255218	0.509539425	0.760209799	0.180637226
0	-0.40848875	-1.010255933	-0.194386005	-0.406131864	-0.589466214
1	-0.618120074	-0.865450144	0.794070005	0.286506414	0.470583856
0	-1.047307372	-0.950996757	-0.225421369	0.246952444	-0.492415786
1	0.589437127	0.349541724	0.459474206	1.835121274	0.491162479
0	-0.774959564	-0.997641325	-0.025903463	0.115234911	-0.25425756
1	-0.364330351	-0.209690571	0.441347659	0.36703521	-0.262318492
0	-0.880583167	-1.061978102	-0.230893224	0.258624464	-0.267645925
1	-0.545516074	-0.51203537	0.409475416	1.147159696	0.309746802
0	-1.002462864	-1.277554274	-0.237925768	0.274913788	-0.007361829
1	0.164805904	0.068967387	0.524303436	0.332375139	0.886846781
0	-0.780328274	-0.877783537	-0.038340092	0.080484271	-0.062339544
1	0.201110199	0.342535913	0.422785997	0.476486564	0.363908291
0	-1.181683302	-1.322391748	-0.70724535	-0.310089588	-0.478838444
1	0.324359	-0.047463596	0.066848576	0.75385499	-0.123763382
0	-0.999489546	-0.998582363	-0.117213488	-0.262727499	-1.30079174
1	0.112614721	-0.02486372	0.942379892	1.649876595	-0.377250075
0	-1.198408604	-1.319051504	-0.730846107	0.283786058	-1.505730867
1	-0.72876972	-0.191124097	0.650449395	1.27442944	-0.111507133
0	-0.974980533	-1.237618685	-0.530681789	0.019517124	-0.890454233
1	-1.010968685	-0.501003742	0.241122365	1.321822643	-0.53793788
0	-1.16359663	-1.317735672	-0.490155607	-0.18159166	-0.938022375
1	-0.311891913	-0.25122878	0.764425576	1.259601593	0.085253663
0	-1.291717649	-0.622140884	-0.93426621	0.785147071	-0.629877925
1	0.401687354	0.434275627	0.720657647	1.100739717	-0.207544073
0	-1.523614407	-0.654780626	-1.28927803	0.346023172	-0.345169693
1	-0.249249741	-0.211518779	0.642317295	0.442062497	-0.159643844
0	-1.566972375	-1.171373487	-0.618857026	0.575315475	-0.743242621
1	-0.915704429	-0.810392797	-0.139464378	0.592624605	-0.164174616
0	-1.728435636	-1.304258943	-1.020600677	0.355311453	-0.469501853
1	-0.193814844	-0.215860546	0.024177231	0.248956874	-0.210699439
0	-0.965344787	-0.653392911	-0.090512887	0.980306268	-0.356157601
1	-1.552058578	-0.887615442	-0.413034916	0.495976925	-0.629691958
0	-1.406600118	-1.633967996	-0.433271646	-0.315909863	-0.68503654
1	-0.596760392	-0.679672718	-0.664151788	0.048548996	-0.428667665
0	-1.080787659	-1.711525917	-0.263789415	-0.338191152	-0.205626845
1	-0.828534126	-0.970722556	0.155947506	0.625130653	0.23610042
0	-1.618784666	-1.856676579	-0.812644422	-0.259681761	-0.562222898
1	-0.555255771	-0.558434248	0.239010438	1.106305003	0.099694699
0	-1.391888022	-1.733531117	-0.453660369	-0.546969891	-0.182830811
1	-0.98980248	-0.325758457	0.376603484	1.254031062	0.065986872
0	-1.240313768	-1.782018185	-0.453405738	-0.237323523	-0.471450567
1	-0.219236866	-0.609510064	0.306911409	0.63380444	0.592187285
0	-1.2199862	-1.496491194	-0.235984653	-0.035296708	-0.210406393
1	0.089505017	-0.158667922	0.581771314	1.631989956	0.057128727
0	-1.095382214	-1.472346067	0.064450979	0.168911248	-0.228800118
1	-0.648017287	-0.73846662	0.5042665	0.799215853	-0.018884912
0	-1.148260593	-1.379949927	-0.250832886	-0.129206628	-0.284704417
1	-0.248973578	-0.248636156	0.093150392	0.902297854	-0.132621974
0	-1.216325521	-1.488449574	-0.220686853	-0.157753289	-0.250135362
1	-0.798868299	-1.112000704	-0.09446454	0.609839797	0.185973808
0	-0.936051667	-0.959930599	-0.855429947	0.085003614	-1.344148159
1	0.011495247	0.210487768	-0.194175318	1.880746007	-0.224136934
0	-1.458953261	-1.201974273	-1.510790467	0.052309602	-0.797990322
1	-1.023068547	-0.964592159	-0.074658446	0.37582311	-0.127468616
0	-1.588405848	-1.464142561	-1.23631382	0.188158035	-0.089679062
1	-0.457129955	-0.49115181	-0.005031899	0.720097899	0.034282498
0	-1.621114492	-1.557871819	-1.054347038	0.190291107	-0.318416834
1	-0.57666105	-0.759383261	-0.472665548	0.152426794	-0.093920916
0	-1.044756413	-1.01609838	-0.901814818	-0.136738315	-0.52750504
1	-0.199457571	-0.059096515	0.470661402	2.815263748	0.775818527
0	-0.941791713	-1.111423731	-1.127161741	-0.36255759	-0.609270632
1	-0.258537233	-0.499278247	-0.34305197	0.234048039	0.301768929
0	-0.794054389	-0.971413136	-0.241072237	0.070504457	0.005106151
1	-0.879418015	-1.070686221	-0.852166653	-0.289599061	-0.567307591
0	1.022490859	0.549660802	-0.227976784	1.874231577	0.550976694
1	-1.078338623	-1.085118175	-0.340253741	-0.137932807	-0.762683272
0	-1.127932787	-1.234862089	-0.714096904	-0.427788496	-0.374916553
1	-0.017763749	-0.335041493	0.744313598	1.696270466	0.313507736
0	-1.56318295	-1.380290151	-1.238690138	0.616869569	-0.410017222
1	-0.182318062	0.078419119	1.035694242	1.911576629	0.526317716
0	-1.371946335	-1.440065622	-1.094727039	0.412794769	-0.827177703
1	-0.372172773	-0.45230633	0.308688223	0.759210825	0.302483499
0	-1.553243399	-1.459616423	-0.92790103	0.589448988	-0.332273245
1	-0.601262867	-0.634718478	-0.125324011	0.988085985	-0.251213849
0	-0.162749022	-0.139776543	0.492752165	1.522038341	0.30153811
1	-1.438147426	-1.418572068	-0.48759833	0.442656636	-0.568116426
0	-0.513611257	-0.409672707	-0.393042475	0.406388164	-0.148938373
1	-0.646171093	-0.672611594	-0.23233968	0.938542128	-0.495048046
0	-0.971619844	-1.165117025	-0.325838447	0.020676255	-0.225568533
1	-0.482349873	-0.715937078	-0.483926952	-0.288872421	-0.195750713
0	-1.166898727	-1.249500513	-0.857726812	0.047745168	-0.487059832
1	-0.181952745	-0.318054289	0.053879671	0.814323783	-0.759091735
0	-1.456386328	-1.412238598	-0.615139902	0.891283453	-0.185680449
1	-1.445010185	-1.535712242	-0.206712782	0.283543885	0.316080511
0	-1.179616928	-1.645256519	-1.422973633	-0.246913135	-0.697237611
1	-0.225886136	-0.248395011	-0.110768385	-0.029938988	-0.057451896
0	-1.397253513	-1.359802961	-0.943582475	-0.226953924	-0.991195142
1	-0.780761361	-0.381194532	1.117907286	1.592005134	0.034332268
