label	ITGB6	TAPBP	SLC1A5	DSG2	PCNA
0	0.729047418	1.165494919	-0.537378192	-0.541176677	-0.920176506
1	2.989871979	2.166648388	-0.0225542	0.269873679	-0.127026215
0	0.722022176	0.605858743	-0.650561333	-0.480536133	-2.491471291
1	2.135453701	2.539577484	-0.274983585	0.415899873	-0.279529989
0	0.312527716	0.617028713	-0.788986146	-0.713346183	-2.232858181
1	1.011352301	0.718364239	0.041539147	-0.025062591	-0.327097297
0	0.794669688	0.811311364	-0.954656065	-0.653140008	-2.547429323
1	2.54434824	1.278796554	0.495787978	0.722135127	-0.369138986
0	0.083443046	0.435592175	-0.704854071	-0.615871847	-2.102891207
1	1.311779022	1.42275548	0.958827257	0.57636112	-0.150854558
0	0.49407956	0.654487908	-0.979157686	-0.45189479	-2.591146469
1	1.766404152	0.404759109	0.329500228	1.028375149	-0.422570169
0	0.827760339	-0.036518812	-0.90215981	-0.598972917	-1.122507811
1	1.914542794	1.015223265	0.391546547	1.051846504	-0.352444649
0	0.972652078	-0.30035606	-0.561066747	0.696398497	-1.092217207
1	1.051414132	0.744445145	0.199565783	0.868100166	0.379310369
0	0.785899639	-0.654826522	-1.045637012	0.438636333	-1.113160014
1	2.798596621	1.266632557	-0.246316224	1.130260706	-0.00929936
0	0.835159838	-0.429276943	-0.406061769	0.438337743	-1.032353401
1	1.707752347	1.796957374	-0.238305509	0.160891682	-0.462862134
0	1.14216876	0.36540845	-1.028147697	-0.477254122	-1.191961527
1	0.427254647	0.985305429	0.843998253	0.316531062	-0.203677297
0	-0.203326046	0.82384336	-0.53120482	-0.337367892	-1.144297957
1	0.934205055	1.761687875	-0.333220482	1.285370946	-0.200825796
0	0.025704056	1.020944953	-0.96506989	-0.055053025	-1.18411839
1	1.373470068	1.230705738	0.09406288	1.403747559	-0.072393999
0	-0.017058194	0.848935127	-0.686960936	-0.335341573	-1.185073137
1	2.380794048	1.314005852	0.268701017	0.705948472	0.181756049
0	-0.205191255	1.516008377	-1.04857254	-0.312020779	-1.15236032
1	2.095681906	1.20326066	-0.185082167	1.257554412	-0.796816349
0	0.042051226	1.450560927	-0.815133333	-0.097703904	-1.282087564
1	1.382383585	3.488175154	0.110916205	0.34975633	0.364316344
0	1.644516945	0.929373443	-1.204742432	-0.001676202	-1.719447851
1	1.293293357	1.802065849	0.288669825	0.25951311	-0.662763059
0	0.735213757	1.537839532	-0.942794442	-0.087524623	-1.428100586
1	0.87559998	2.863441944	-0.179192469	0.969539165	-0.674036562
0	1.389722109	1.324238777	-1.039253831	-0.071150303	-1.331899762
1	1.757023573	1.805082679	0.081273533	0.929252684	0.149202108
0	0.755096078	1.660576582	-0.303104401	-0.176292777	-1.100604653
1	2.222708225	2.262056828	-0.210930943	1.462615728	0.143128559
0	1.511705756	1.416597128	-0.724693537	0.103275537	-1.207689404
1	0.876603842	2.377917051	0.052613601	-0.815547705	-0.419736534
0	1.312304497	0.629255891	-0.701491117	0.472581804	-1.24885726
1	3.22437501	2.067126751	1.499425411	2.625505447	0.325998247
0	1.522442102	0.264720261	-0.664164424	0.493129581	-1.013924003
1	3.51038456	2.429265022	-0.583826602	1.296031356	-0.25727886
0	1.31445694	0.399310887	-0.730553985	0.221424788	-1.160824418
1	3.668326855	0.94244349	-1.173473835	0.627634048	-0.552601218
0	1.438143969	0.526521504	-0.668309331	0.083018899	-1.399194956
1	3.162819862	2.325900078	0.494231462	1.017131805	0.42051059
0	2.060482502	1.482106209	-0.613586664	0.113613367	-1.108994126
1	3.386044264	2.163784027	0.28310585	1.804985285	-0.251684099
0	0.255840391	0.712233126	-0.221458018	-0.354961038	-1.153396726
1	1.703639269	1.68808341	0.186834455	0.114536613	-0.353282928
0	0.362104177	1.118844748	1.153521419	-0.655187726	-1.251629829
1	2.531538963	4.026568413	0.60062933	0.378124058	-0.571228087
0	0.670817375	1.301348448	0.112566769	-0.61464721	-1.077323198
1	2.605270863	2.152613878	-0.407532513	-0.487177968	0.159968704
0	0.553615332	1.028847098	0.341177344	-0.50349921	-1.077407837
1	0.525591493	1.920557499	0.553194106	-0.13707149	-0.595868945
0	0.375937968	1.816155434	-0.260807246	-0.972006679	-1.029685736
1	1.703972697	3.37463069	0.801965058	0.915634453	0.342160314
0	1.427289605	0.784433782	-1.82184422	-0.220915318	-0.989176631
1	3.526041269	3.438139915	0.834959209	2.272666454	0.608029664
0	1.092010021	1.16437161	-0.515038133	-0.443918973	-1.02427423
1	2.860554934	3.222760201	1.603448749	1.767858982	-0.280652344
0	1.210931063	1.205327988	-0.693678975	-0.46279034	-1.212674618
1	1.615009069	0.632015228	-0.966017067	0.994390845	-0.557131648
0	0.831528783	0.413711399	-0.876933098	-0.338339806	-1.470326781
1	0.808137655	1.613070846	-0.039420709	0.746603847	-0.416509777
0	3.383014679	1.785161853	-0.764915943	0.049512729	-0.648887873
1	1.148680568	1.084708929	-0.649065256	-0.172605634	-1.082592368
0	0.349651396	1.637241602	-0.640936852	0.154433191	-1.18583858
1	1.183021069	1.992484689	0.081944346	0.159592211	-0.267682314
0	0.913464665	0.91892612	-0.923659086	0.04835546	-1.06000638
1	2.183815718	1.798545122	0.90028739	-0.49391672	-0.253833324
0	0.020454586	0.673026323	0.070010662	0.213578582	-1.24247098
1	2.425533056	2.373775721	-0.545771003	0.91528964	-0.787595987
0	0.404635727	0.751409888	-1.605387807	-0.013595343	-1.420319915
1	3.238819122	1.38017118	-1.410296559	0.606400073	-1.278568149
0	0.596450686	1.140040755	-1.08712244	-0.5727005	-1.012424946
1	2.345089436	1.468164206	0.031922653	0.603826642	-0.249712184
0	1.222113252	1.022010326	-1.000881195	-0.781267166	-1.082672954
1	4.214796066	3.082762718	-0.087016642	0.059146643	-0.322693944
0	2.081470966	1.639509678	-0.989340246	-0.677576482	-1.112243891
1	3.575591564	3.227446079	-1.127049327	0.400369227	-0.601296127
0	0.827051878	0.953970313	-0.956178904	-0.185410529	-1.070116878
1	1.851563454	1.764721394	-0.054803491	0.350938976	0.08670032
0	0.958620846	1.829662561	-0.217484295	-0.82983309	-0.979483068
1	2.275884867	2.022514105	-0.303062737	0.158888206	-0.694176137
0	1.096270323	2.005684376	-0.239134133	-0.34745425	-1.091367006
1	3.892362118	2.559050083	0.474333465	1.81703949	0.496561944
0	0.66558516	0.917108417	-1.37814796	-0.241764814	-0.876973152
1	1.078791142	1.448888063	-0.067369126	0.070813008	-0.457778931
0	0.669125915	0.516230822	-1.452600718	-0.623145163	-0.992446244
1	2.246473551	1.162150502	0.130765304	0.482313335	-0.485370398
0	0.542878628	0.358727276	-1.561798096	-0.6477319	-0.89842999
1	0.556940556	0.716316104	0.221520185	2.172218084	-0.115707725
0	0.91090858	1.165665627	-0.535317957	-0.240658179	-0.897303581
1	2.872344255	1.789116979	0.224825799	1.535920143	0.375137091
0	0.464064956	0.316303909	-0.365023792	-0.892938554	-0.907989919
1	2.430749178	1.067244053	-0.522035182	0.380105197	-0.718509376
0	2.071011305	0.919979811	-0.249883175	-0.485043287	-0.824412584
1	1.117232442	0.283868492	-0.884353518	-0.843640327	-0.829999685
0	3.812979698	1.746927857	0.19384253	-0.293100476	0.422682524
1	0.775024116	0.6127038	-0.721168518	-0.894680858	-0.818098426
0	0.807777405	0.276456654	-0.857505798	-0.491914988	-1.090013981
1	3.105444193	1.600825906	-0.247451097	0.022291377	0.339112103
0	0.275676817	0.484286517	-0.550731659	-0.986907363	-1.134536743
1	4.272132397	1.898981214	-0.694973707	0.295523942	0.188001841
0	0.74166733	0.568252444	-0.573417604	-0.655601561	-1.006138325
1	0.906170428	1.465449452	-0.300491989	0.504145026	0.376514822
0	0.706294358	1.465536594	-0.898020267	-0.823137403	-1.283925056
1	1.604479074	1.623713732	0.022441745	-0.359501064	-0.345078707
0	2.067932367	2.010023594	0.607431829	-0.066196449	-0.265647233
1	1.080698133	1.259066463	-0.659720302	-0.951300979	-1.117247343
0	2.549305439	1.208176255	-0.245811522	-0.773545802	-0.453554392
1	1.741179705	1.064374804	-0.214382648	-0.123984396	-0.371488571
0	0.87869817	1.059658051	0.909636796	0.215051949	-1.285163403
1	0.966028631	1.577618599	0.716937125	0.857010365	-0.528345823
0	1.131399632	1.190291286	-0.5257411	-0.349026322	-1.318028331
1	2.417272568	2.251281261	-0.050148293	0.294799149	-0.412202984
0	3.045737028	0.833131909	-1.862565279	-0.223335207	-1.498440742
1	1.833888054	2.262414455	-1.369896412	-0.041957408	-0.91718334
0	0.254046321	1.266245365	-0.592274547	-0.802221417	-1.398812056
1	3.015618801	3.649719954	-0.424502492	-0.068437412	-0.360441446
0	0.677831292	1.467616796	-0.702341139	-0.668230712	-1.388731003
1	3.551721811	1.624338865	-1.32056129	0.555253088	-0.316618502
