label	DHCR24	SLC16A3	SERPINB5	RBM8A	EPCAM
1	1.139410853	-1.665482044	1.885436416	0.010394767	3.313091755
0	0.0182648	-2.000784397	-0.899933815	-0.704450011	1.86786294
1	0.14110738	-1.655409813	0.555352151	-0.137353018	3.263363123
0	0.588279128	-1.994251847	-0.794749498	-0.859537601	1.085356832
1	1.044304967	-0.847413123	1.719222784	0.032228619	2.885822773
0	0.131036341	-1.472497344	-0.797708035	-0.489473104	-2.703272104
1	-0.366006285	-1.385478973	1.951742053	0.187532887	2.523061037
0	0.311374247	-2.014349937	0.306345642	-0.881524205	1.716677189
1	0.846761584	-0.772410393	-1.464543462	0.136285812	3.791409016
0	0.01013881	-1.502651811	0.760902762	-0.72709167	0.651405275
1	0.960581303	-0.514642715	0.777453959	0.453447461	2.3077178
0	0.175815523	-1.60914433	0.846056521	-0.641672254	1.008662343
1	1.379554749	0.282239914	0.661029696	-0.003866136	3.682499647
0	-0.110643715	-1.496492147	0.811163008	-0.612467051	0.907194674
1	0.672887981	-1.155462742	0.300825298	-0.124004081	1.751679778
0	-0.013377547	-1.428547859	1.559172153	-0.474092841	0.07365185
1	0.588271439	-1.136327982	0.453040451	0.213806003	2.395812988
0	0.321126878	-1.357162356	1.327627301	-0.502334237	0.677959859
1	-0.130668879	-0.46590957	0.936448812	0.119837761	2.756154537
0	0.089027703	-2.352240324	0.473785937	-0.781885624	0.99458158
1	0.970258594	-0.36708039	2.595101595	-0.553866565	1.397977591
0	0.256052017	-1.787323713	0.350244105	-1.165899277	1.208465576
1	0.997547388	-0.587544799	0.147986054	0.140115649	3.220266342
0	-0.35363096	-2.022345066	-0.411892951	-1.00174737	1.47274065
1	0.920149386	-0.191501871	-0.415338755	-0.071495697	5.684391022
0	-0.124434412	-1.493631601	-0.009890497	-0.887418568	1.110721231
1	0.501833677	-1.164828062	0.278497577	-0.336000711	3.000251055
0	-0.373935252	-1.890445948	-0.665864348	-0.939973593	1.171308517
1	1.42202127	-0.421343774	1.371332169	0.842001498	2.868506908
0	-0.748725891	-2.209255219	-0.933317542	-1.004871249	0.893126547
1	-0.139600381	0.043501303	0.672002614	0.171860874	2.623426437
0	-0.854631186	-1.403843403	-0.812975883	-1.196959734	0.517324805
1	0.869946718	-1.599532604	1.370919228	0.119067892	0.398791134
0	-0.952657819	-2.000989914	-1.042795658	-0.699499846	0.442895472
1	-0.57325089	-1.760746241	-0.563666821	-0.293512642	2.125795841
0	-0.728491426	-2.960081577	0.927678227	-0.594969034	0.28088522
1	-0.327446729	-2.008874893	-0.345985621	0.017029755	2.531667233
0	-0.466754675	-1.345875978	1.163165212	-0.34709996	0.918694854
1	-0.334712267	-2.405936718	0.115856051	-0.936671972	0.741965115
0	0.07229811	-0.941053271	0.988266408	-0.530539036	0.320642531
1	0.072601885	-1.376322389	0.277597815	0.301806867	1.385459661
0	-1.562820911	-1.143512011	-0.640867949	-0.752941608	1.218533754
1	0.89739728	-1.08649826	1.81937623	-0.218643337	0.141414091
0	-0.87782377	-0.858881772	-1.799103022	-0.690666258	1.601109505
1	0.074871242	-0.540042281	-0.127193958	-0.053989559	1.964366317
0	-1.420450091	-1.85169518	-1.486374259	-0.758231997	0.483109713
1	1.370368004	-0.072419226	-1.037398219	-0.459294915	4.144906521
0	-0.734500647	-1.384520531	0.24870652	-0.704922318	1.006406546
1	0.07473211	-0.179150328	1.894646764	-0.124511108	0.3920784
0	-0.192007691	-1.778101206	0.659338474	-0.994381428	-2.321867228
1	-0.887265801	-0.729802728	2.093341827	-0.246953189	-1.690202713
0	-0.439981043	-1.864936352	1.753527403	-1.003585577	-1.819539785
1	-0.527424812	-1.425766468	0.381162524	-0.17449607	-2.087567329
0	-0.261957854	-2.056811571	0.888132095	-1.088009357	-2.165260077
1	0.338764548	-1.134606957	0.322301507	-0.259914607	-2.088625193
0	-0.629028738	-1.570751429	0.320879161	-0.781841695	-1.387425661
1	-0.088260829	-1.542470932	1.083322167	-0.327998161	-1.753948569
0	-0.617327034	-0.884055078	-1.093053102	-1.524384975	1.479072809
1	0.698812366	-0.024062112	0.704626501	0.265407175	4.678561211
0	-0.952975392	-2.544353008	-1.366159558	-0.920669198	0.196001738
1	0.247844994	-1.602810025	-0.00057482	-0.452487826	3.74072957
0	-0.832167566	-2.62714529	-1.323496342	-1.207295895	0.198750764
1	0.273268402	-0.99178803	0.573240101	-0.455243587	1.671069741
0	-1.144028664	-2.639454126	-1.320465088	-1.243118048	-0.267852783
1	1.587338209	-1.720579863	-1.504705906	-0.447351396	6.132005215
0	0.306919217	-2.002219677	0.745066941	-1.111518383	1.394361019
1	1.298688054	-0.572447538	1.560519457	-0.090631753	3.564020634
0	-1.460670471	-1.930477381	-0.778270185	-0.521757901	-2.39585042
1	-0.342089474	-1.531636953	1.011014223	-0.384491622	-1.484217882
0	-0.68807292	-0.949003577	0.104322195	-0.33815825	-1.81410861
1	-1.220747352	-1.819531798	-0.414664388	-0.28857553	-2.541340351
0	0.787258208	-0.669512808	1.707188725	0.390067309	-1.494679332
1	-1.592251658	-1.453537583	-0.823393941	-0.180556208	-2.018655539
0	-1.123695612	-1.830178261	-0.100578308	-0.690914035	-1.973439813
1	0.597784817	-0.901643395	1.768013	0.34893766	-1.859803796
0	-0.350578517	-1.960033536	0.127266675	-0.374585837	0.708894372
1	1.969326854	-0.15025413	0.154689565	0.557368755	2.119208097
0	-0.585921705	-1.728023291	0.071914256	-0.554666698	0.996910751
1	-0.481399387	-1.595207095	1.516072154	-0.055285651	0.978841066
0	-0.466931939	-1.920605659	-0.195275843	-0.374576807	0.573652327
1	-0.410108447	-1.29636097	-1.610149145	0.006066382	3.179930925
0	0.47703746	-1.424541235	0.922159016	0.358117849	1.820390105
1	-0.642591834	-1.67416966	-0.558488131	-0.291643053	0.500679255
0	1.307905197	-0.603569329	-1.360394478	-0.083898231	2.670999527
1	-0.154727936	-1.188190818	-0.408572257	0.224869788	2.611218452
0	-1.134538889	-0.50269711	-0.626243591	-0.980067492	-0.312852859
1	0.588553786	-0.322586119	1.696591139	0.02664575	0.918009937
0	-0.922351241	-0.955943584	-0.671911478	-0.666148782	-1.160377622
1	1.096838713	0.112646721	0.916343987	0.176328272	0.151612103
0	-0.021658719	-0.531364143	-1.018788815	0.438780725	0.121079385
1	-0.211792946	-0.625661194	0.005401239	-0.072409451	-0.408623576
0	-1.558889866	-1.098906398	-1.579374313	-0.637799382	-1.595191717
1	0.464710265	-0.66703856	-0.294241548	0.510242105	-0.27444461
0	-1.172291756	-0.947802842	-1.365582466	-0.830017984	-0.906649292
1	2.108735323	0.410437167	0.360673785	1.066848636	2.048869848
