label	ITGB6	MCM2	TNC	TAP2	TMEM164
1	1.741179705	-0.646171093	1.435743451	0.75991112	-0.228562355
0	0.87869817	-0.971619844	1.156547189	0.367751896	-1.682376981
1	0.966028631	-0.482349873	1.528433561	0.886242032	-1.287584305
0	1.131399632	-1.166898727	1.597016811	0.704439759	-2.030416965
1	2.417272568	-0.181952745	2.22289896	1.608142495	-2.04630065
0	3.045737028	-1.456386328	3.441729307	0.724501133	-1.963550448
1	1.833888054	-1.445010185	1.947635174	1.241130352	-1.567206621
0	0.254046321	-1.179616928	2.056297779	0.739487946	-2.235583782
1	3.015618801	-0.225886136	2.206251383	2.526862383	-1.329257607
0	0.677831292	-1.397253513	1.897914171	0.918121517	-2.279320478
1	3.551721811	-0.780761361	1.973034978	0.903479457	-2.168126583
