label	CP	C5	IGHG4	GSN	SERPINA2
1	-0.78192234	-0.941101909	-0.767602354	-0.39375329	-1.561797619
0	-2.151572287	-1.443269819	-1.416480392	-1.150160968	-1.933020413
0	-3.178766966	-2.435040593	-2.675141811	-0.863177001	-2.898175955
0	-2.099334836	-1.899500251	-1.133022577	-1.469170541	-2.166215181
1	-0.560397983	-0.168729424	-0.407924294	-0.551127911	-0.238274336
1	-0.561039448	-0.470722437	-0.450557828	-0.553346157	-0.742000818
1	-0.852950096	-1.232266665	-0.551780224	-0.299433708	-0.367864728
1	-0.531791687	-0.255872726	-1.016949058	-0.089530587	-0.04788208
0	-1.815204322	-1.839597702	-2.254953742	-1.052238703	-1.57832098
0	-1.741986394	-1.631756902	0.395550489	-0.240915775	-1.33060509
1	-0.537074566	0.137945175	-1.591254473	-1.674077511	-0.621829271
0	-2.014011264	-1.69732058	-1.31763272	-0.985006332	-1.840710521
1	-1.248620749	-0.710216641	-0.871370554	-1.185302138	-1.141234756
1	-1.53524673	-0.961105883	-1.449180245	-0.00492239	-1.591906369
1	-1.226454973	-1.246220112	-0.69493264	-0.853194356	-1.660212994
1	-1.589555502	-1.576587677	-0.492727041	-0.571938157	-1.205445409
0	-1.732628584	-1.532185078	-1.208944798	-1.699279904	-1.444231331
0	-0.705133319	-0.890584707	-0.693149567	-0.822553635	-0.280811071
1	-0.330284953	-0.419846773	-0.576307833	-0.972760201	-0.532882929
0	0.518493176	0.664511919	-0.114403963	-1.291865766	0.02886939
0	-2.164566278	-1.22475338	-2.199016571	-0.496388257	-1.982007682
1	-0.91562891	-0.778742313	-0.742570639	-0.943588972	-0.762359858
1	-1.098429203	-0.939215899	-0.997888327	-0.827893972	-1.088472247
0	-1.566042364	-1.17287302	-3.216794372	-1.984086871	-1.067946315
0	-2.215136886	-1.338447213	-2.547749877	-1.900401115	-1.922897875
0	-2.151679039	-1.231624126	-1.631432891	-0.962534785	-1.89710021
0	-1.440290928	-1.356022239	-1.381644964	-0.798439026	-1.310433805
1	-0.094218254	0.170375705	-0.230463386	-0.472553015	-0.376399755
0	-2.269020915	-1.710922271	-1.276185155	-1.103732705	-1.777810812
0	-2.13724494	-1.077680945	-1.341144025	-0.811128616	-2.284697175
0	-1.542315722	-1.281876802	-1.025595188	0.014281511	-1.450994253
0	-2.115293622	-1.823560894	-1.838488758	-0.928595781	-2.074577361
1	-0.683606863	-0.542512596	-0.351154625	0.174667597	-0.455506027
0	-1.805912852	-1.568879962	-0.66837424	-1.165155292	-1.841208041
0	-1.304508328	-1.494602442	-1.37461549	-1.317483366	-1.330141187
