label	C3	IGHV1-46	ACAN	C4BPB	FETUB
0	-1.918926239	0.53116405	0.791415453	-0.556188941	-2.423493728
0	-1.832097292	1.087278128	-0.271600127	-1.091081619	-2.500680715
0	-2.282874584	-0.044618607	0.216266155	-0.526693463	-2.201679647
0	-1.402732491	-0.394502044	0.670655847	0.173428178	-1.489223599
0	-0.830782771	0.466977358	0.87956953	-0.072715402	-1.127571106
0	-2.191955388	-1.469330847	-2.813709706	-1.841178775	-2.14177531
0	-2.400450826	0.269659996	-3.007837459	-1.657222748	-2.243938088
0	-2.344130456	-1.615576744	-3.242161751	-1.706124306	-2.375703394
0	-2.814818799	-2.689593345	-0.963227585	-2.549886584	-2.569765747
0	-1.642642856	-1.232102573	-0.53569594	-0.967811227	-1.654747248
0	-1.950401962	-1.587699294	-0.229144365	-0.21528542	-1.441776156
0	-2.043869376	-1.860779285	-0.39313978	-1.910307348	-1.724215865
0	-0.953688979	-1.290484309	-1.334983349	0.124161839	-0.90397954
0	-1.465111613	-1.129957199	-1.203611553	-1.202737331	-1.266084909
0	-1.113557816	-1.364036143	-0.892873466	-0.173317969	-1.556508899
0	-2.302437305	-1.90474987	-2.510764599	-1.565909445	-2.445828259
0	-1.916929126	-2.221328557	-1.238278389	-1.0573861	-2.078086495
0	-1.534527779	-1.503267527	0.416769028	-1.411358476	-1.472442091
0	-2.175126314	-2.194968566	-0.720914721	-2.049015433	-2.174046397
0	-2.439938903	-2.558930993	-3.280541956	-1.69865625	-2.220570128
0	-2.089370012	-1.717200041	-3.755504578	-0.901119828	-2.054413676
0	-2.179371238	-0.706503868	-1.63849102	-1.459047109	-2.614967622
0	-1.511955261	-0.888941929	-1.013941705	-1.196486831	-1.107343137
1	-0.658866167	-0.60666196	1.181748077	-0.391492009	-0.656957686
0	-1.397635579	-1.564843535	-0.476065099	-1.238362163	-2.05979991
0	-1.902822852	0.364585161	-1.854704812	-2.434574902	-1.702395558
0	-2.514629185	0.607949972	-1.264581248	-1.761621892	-2.205597401
0	-1.964648247	-0.416263342	-0.893570006	-0.53828764	-2.13725996
0	-2.383736134	-0.369491458	-2.034644157	-2.61899811	-1.812610984
0	-2.719343573	-0.518396139	-0.905872077	-1.83698225	-2.057408959
0	-2.907882035	-0.605532765	-0.16106084	-2.161845505	-1.84573032
1	-1.211797357	-0.990712047	-0.316982001	-0.683336198	-1.144079328
0	-1.784512758	-1.019510746	-0.786456138	-1.184339702	-1.822643936
0	-2.604716361	-1.341751218	-0.722946756	-2.767067254	-1.302146956
1	-1.184363842	-1.02250123	-0.419893235	-0.637336016	-0.835708618
0	-2.267328367	-1.605912685	-2.987036526	-1.116862476	-1.405972533
0	-1.373481274	-1.179234147	-0.966516614	-0.749501258	-0.99911502
0	-2.026311994	-1.720642567	-1.517902851	-0.870467901	-1.615782678
0	-1.743501544	-1.367643833	-0.788668096	-0.882288694	-1.481344879
0	-2.329701066	-2.109699845	-1.007735372	-2.423607707	-1.581738204
0	-0.917389631	-1.407744408	-2.660434008	-0.921220541	-1.338888884
0	-1.784763813	-1.541908979	-1.850687176	-1.329502821	-2.462570012
0	-2.299691916	-2.351367593	-1.317495763	-1.900251031	-3.487522364
0	-2.576464772	-3.220317841	-2.578502521	-3.794526219	-1.902281463
0	-2.345434189	-1.651654124	-0.121197462	-1.3829723	0.524325728
0	-1.852259278	-1.730416775	-0.323769569	-0.902160168	0.581691384
0	-1.834681749	-1.245772243	0.012857437	-1.968999743	-0.196402669
0	-2.707735389	-2.292753458	0.027286053	-2.71789369	0.696025014
0	-2.103008866	-1.489951849	-0.226732254	-1.362022102	0.084129333
0	-2.112992167	-1.072883606	0.669361472	-2.252899885	-2.513026327
1	-0.98015058	-1.398682833	-0.004400492	-0.838127851	-1.316570133
0	-2.013057172	-1.855180681	0.362771273	-1.74401474	-1.426759586
0	-1.285229683	-0.658073902	0.678768396	-1.162720263	-1.234503239
0	-0.95608604	-1.233242035	0.791490078	-1.159560084	-1.175636768
0	-1.901898146	-0.443305135	-0.084383309	-1.863949776	-1.490729809
0	-2.870863318	-0.156302094	-0.676723331	-1.228046417	-2.730112329
0	-1.725858092	0.954428673	-0.011472583	0.210449576	-1.934087642
0	-1.915386915	0.366441846	-0.058849365	-1.544232249	-1.627785474
0	-1.639172912	0.75168407	-0.892503381	-1.914398789	-1.592074454
0	-1.394391537	-0.437626123	-1.457726061	-1.051072359	-1.293152273
0	-1.91053617	-1.782841325	-1.192113161	-2.313635796	-1.584370792
0	-0.971008301	-1.48035121	-1.339136481	-0.835236549	-1.048015654
0	-1.362977862	-1.209025264	-1.846933544	0.416312218	-1.03178978
0	-2.510941863	-0.66695714	-0.788661778	-2.792356268	-1.66381371
0	-2.403035522	-1.493383408	-1.558557332	-3.418706626	-1.610515893
0	-0.830227613	-1.107660532	-1.466487944	-1.281090066	-1.194490135
0	-2.816070735	-2.762434602	-3.140954435	-2.245288894	-2.734541945
0	-1.595490456	-1.146762013	-1.939891919	-1.593723819	-1.602609396
0	-1.792613387	-1.995712757	-0.465489388	-1.459473878	-2.102168441
0	-1.940627277	0.332771659	-0.420883656	-1.552435935	0.686004996
1	-0.709591866	0.426654577	0.195778131	0.74420166	0.327999115
1	-0.844695568	-0.07575655	0.054729939	-0.421573877	0.035408735
1	-1.290944934	0.423633933	0.434676409	-0.741173387	0.747213006
1	-0.826181173	-0.084574938	-0.123323321	-0.720732331	0.74379909
1	-1.445040703	-0.250549078	-0.229133844	-0.703846931	-1.576849461
0	-1.770170212	-0.465232074	-3.365530491	0.305416107	-1.860832095
0	-0.753633976	0.009290755	-1.121971548	-0.520078063	-2.321915686
1	-0.8489182	-0.429910585	-2.609823942	-0.739492178	-1.567566752
0	-2.092612624	-0.313105434	-1.319503069	-0.125630498	-2.143582225
0	-2.888651371	-3.123245955	-0.716390848	-2.483117282	0.46711719
0	-2.304563046	-1.291444123	1.019459248	-1.548468888	-0.014459729
1	-0.306134701	-0.759161949	0.759648204	-0.589846611	1.725889802
1	-0.448604345	-0.659134984	-0.599626899	-0.290744662	0.533179283
1	-1.084608555	-0.71400249	0.496882915	-1.237468719	0.568896532
1	-0.2345891	-1.031262875	0.098606944	-0.089229584	-0.403338909
0	-2.01158309	-1.878294587	-2.201061726	-1.967710465	-2.307349205
0	-1.655973792	1.216558695	-0.842424989	-0.742448926	-2.137270391
1	-0.354933739	0.22084856	-0.943439245	1.717169762	-0.47889185
0	-1.789732695	-2.056304455	-1.938885808	-1.533100665	-2.216066241
1	-1.119684458	-1.019771099	0.267401457	0.744781256	-0.632457256
1	-1.003325462	-0.409088254	0.361412644	-0.277079999	-0.137870073
1	-1.192845583	-0.91394639	-0.740286946	-0.747680664	-0.046998024
1	-1.6084373	-1.075728595	1.24683547	-1.778038263	0.089160562
0	-1.792826176	-1.08488135	-2.40730685	-1.759918213	0.916826844
0	-0.686636686	1.009160042	-0.529618144	0.003710747	0.938312054
1	-0.292360187	0.023119092	-0.099814415	0.07506606	0.313056231
0	0.662955761	0.254145265	-0.406718016	0.09340322	1.123775959
0	-1.602567434	-1.080860138	-0.710152149	-1.236681007	-0.516654849
1	-0.779787779	-0.76587832	-0.528815866	-0.605750561	-0.551480532
1	-0.913054109	0.401605844	-0.715669215	-0.7627424	-0.99532187
0	-1.57918787	-1.457223922	-0.293548316	-1.63180846	-1.008403122
0	-1.814418674	-0.214925051	-1.81303104	-1.407244205	-1.729804873
0	-1.526239634	-0.671784997	-0.881675899	-1.124519825	-2.340905666
0	-1.645072162	-0.508136988	-1.095188022	-1.886085406	-1.657369018
1	-0.065993309	-0.24343574	-0.282786727	0.100809693	-0.303932428
