label	JUP	KIF11	TGM3	FERMT1
0	1.253789306	1.269926071	0.690447092	0.78891933
1	-0.178198785	1.09462285	0.27984345	-0.633958608
0	1.643962979	1.121918321	-0.231223702	0.440137744
1	1.354435921	0.32140851	0.409362316	0.719603181
1	0.265394509	1.374748051	0.235499144	0.028551579
0	1.740446329	1.394455105	-2.380937278	1.461754084
1	0.133673906	0.01686275	-0.464651227	-0.098128825
1	0.43159759	0.426693559	-4.055991016	0.836948693
1	0.512122571	0.380609393	-0.970378444	0.550022006
0	1.319599986	-0.437627554	-0.421321973	1.559160829
1	0.897578061	0.903848231	-3.761599034	0.646033436
1	1.219206452	0.011215806	-2.203329742	-0.492916938
0	0.704034448	1.546638608	-0.124019347	0.426099479
0	-0.022947133	0.23564446	-0.231179506	0.038123511
0	1.045124203	0.482268333	-0.520205319	1.810565233
0	1.085128844	0.812794924	0.708089113	1.389108211
0	1.293903351	1.434046447	0.121805787	0.947429657
0	0.534252107	0.926391721	0.929752111	0.361737311
0	1.128258467	0.924937248	0.115564823	1.025323808
0	0.016224861	-0.481765747	0.532108784	-0.323341798
0	0.93035233	0.094257236	-0.353713989	1.012954593
1	0.470017195	0.249144316	-0.617775857	0.709024251
0	1.188055158	1.115088642	-0.770069122	0.640922576
0	0.0232898	0.357639551	-0.360860944	0.06602633
1	-0.182544649	0.007472873	0.868281126	0.32651794
0	1.19546634	0.772767305	0.354522109	1.291133583
1	-0.030447066	-0.717223644	0.20438242	-1.271074191
1	0.946006119	0.433556914	0.261760354	0.098586321
0	1.628841221	0.933763802	1.00538671	0.401051223
0	1.377148986	0.613119364	0.037125111	0.734613299
1	-0.135875821	-0.258733392	-1.513096958	1.250799835
0	-1.161080718	0.509016991	-0.522905141	0.104975224
1	0.537990451	0.66117847	-1.832600266	0.411061466
0	0.382189214	0.132791698	-0.42857004	2.466018438
0	0.331495702	0.439613342	-0.370929152	0.235294715
0	1.472873449	0.926039994	-0.868645728	0.755350828
1	0.300771713	0.839600921	-2.951118797	-0.114783049
1	0.360292792	0.075037241	-0.476015478	-0.269946218
0	0.884506583	0.614231348	-1.382382497	1.589470148
0	1.222515702	0.582765579	-1.278809518	0.132264495
0	0.859042525	0.059943676	1.340852261	1.408021927
1	0.351633549	-0.041882038	-1.182088971	1.097166181
1	0.445892215	0.519998401	-0.521689534	-0.429110534
1	0.355460823	0.171244383	-0.451393843	-0.27240178
0	1.833007216	1.180711269	1.037926435	1.437884986
0	1.456062853	0.001566172	1.204684854	1.771102428
0	1.218762934	-0.02194047	0.1652354	1.155829191
0	1.46175766	1.398193449	1.354992032	0.265750647
0	0.846153498	0.684738636	0.086231232	0.856775582
1	-0.328815043	0.075779319	-1.668881774	-0.41014266
0	0.023126006	0.390149593	-2.9434582	-0.052997768
0	1.061737478	1.030838013	-1.594565809	0.051305234
1	0.53918159	0.377699137	-3.20800513	0.009545803
1	0.575887442	0.209977508	-0.368378997	0.758849025
0	0.990294844	0.956401467	0.360405207	0.635552227
0	0.373172462	1.42131573	0.654872417	1.749775976
0	0.799755573	1.106833696	0.354493856	1.120186031
0	0.383533269	0.085326195	0.090024233	0.419241875
0	1.012135804	1.140036643	-0.548378229	-0.038713366
1	-0.30661498	0.302969575	-0.132583976	0.028046936
0	1.185012251	-0.172609568	0.582162857	0.648321837
0	1.260085821	0.920280218	0.321116686	1.688777983
0	1.681433678	0.779556036	-0.002945185	0.215809166
0	0.017338306	0.49767065	0.589932084	0.789770037
0	0.84856987	0.440530479	1.294109106	0.500620842
0	0.450909853	0.046272635	0.284921646	0.150302112
0	0.52775985	0.46815455	0.398719311	0.788997769
0	1.382112265	0.371734023	-0.723050475	1.141151249
1	-1.719326854	-0.134147048	0.852765441	-0.464517802
1	0.037923336	0.657667637	-0.309631988	-0.49486351
0	-0.52778244	0.052767634	-1.153392553	0.201812983
0	0.093888283	0.24976027	-0.233665228	-7.38e-05
0	0.338872194	0.511906505	-2.128504574	0.346847057
0	0.600242376	0.512900352	-3.259216189	0.103269219
0	1.223957002	0.566389561	-0.218574375	1.360138476
1	0.040702999	0.355584145	-4.660393	0.826006413
1	-0.458609059	-0.108396411	-0.414009169	0.252835035
0	0.005315602	0.063925862	-2.221034795	0.208272278
0	1.101865619	0.85243082	-0.055353615	1.208977252
1	0.560258746	-0.225059092	0.333987474	-0.135494411
0	1.507497281	1.218237415	0.730702639	0.254671931
0	0.39294377	0.147506118	0.282559752	-0.067211896
0	-0.524448276	0.424988627	0.385626793	0.462068796
0	0.007830083	0.313361287	0.792568922	0.452073574
0	-0.549268842	0.393332124	-0.701951504	-0.035390258
0	0.696504235	0.586170197	-0.813355476	1.117297888
1	0.610015035	0.479133606	-0.60022144	0.676394641
0	0.322930634	0.335875869	0.077061296	-0.046805471
0	1.496286452	0.531718373	0.870541573	1.395626187
0	0.865056396	-0.046714783	-0.044532359	0.812828958
0	-0.610033989	1.119275391	-1.155736744	0.047288537
0	-0.087305665	0.545779705	-0.451443195	0.079219282
0	0.524586797	0.84035635	0.386504531	-0.511889637
1	0.827028334	0.619934678	-1.045239866	0.738288641
0	0.71957168	0.348493457	-0.945244133	0.432518244
0	1.505946159	0.507978559	-0.68500042	0.553370118
0	1.140397191	0.819935799	-1.100794137	1.630421877
1	1.045333505	1.302956045	-4.903070495	0.895280838
0	0.977066517	0.417583466	0.112854004	0.353133142
0	0.140479505	-0.146749377	0.05219245	0.490627587
0	1.308925241	1.599118888	0.929417253	1.944796771
0	0.706018329	1.182643533	0.390084386	0.330947757
0	0.756887972	0.834611058	-2.361538649	0.713582873
0	1.361206353	0.980320454	-1.917560756	1.551828027
0	-0.378242433	0.129671812	-0.442330003	-0.163227022
0	0.804629892	0.138301373	-0.732018918	0.552526742
1	-0.657532126	0.148739696	-0.96567288	-0.30938375
1	1.053055525	-0.25878346	1.330279827	0.90474689
0	0.848888785	0.047280192	-1.225965321	0.024848193
0	0.959741414	-0.05747366	-0.678690702	0.408622622
0	0.913148537	0.128136277	-0.422235765	0.762363344
0	1.57285291	-0.124676943	-0.516146507	1.89680773
