label	LIG1	GBP2	TGM3	RPS4Y2	FERMT1
0	0.765740275	-0.636071861	0.690447092	0.83461985	0.78891933
1	0.047536939	-0.117769361	0.27984345	0.449063212	-0.633958608
0	0.104968667	0.748339355	-0.231223702	0.558117032	0.440137744
1	-0.645084977	0.491547823	0.409362316	0.578064919	0.719603181
1	0.27321583	-0.212166786	0.235499144	0.378371	0.028551579
0	1.220081627	0.556333363	-2.380937278	0.473270714	1.461754084
1	0.932594419	0.868861735	-0.464651227	0.579285622	-0.098128825
1	1.277688563	0.828829229	-4.055991016	0.613893837	0.836948693
1	1.117169499	0.643698215	-0.970378444	0.320800304	0.550022006
0	-0.120882392	0.2578457	-0.421321973	0.473182976	1.559160829
1	1.591258436	1.113284469	-3.761599034	0.052580476	0.646033436
1	1.235085309	-0.072039545	-2.203329742	0.155555546	-0.492916938
0	1.036462307	0.465472341	-0.124019347	0.664739072	0.426099479
0	1.264813781	0.855145454	-0.231179506	0.849756479	0.038123511
0	1.655652165	-0.120099068	-0.520205319	0.90304783	1.810565233
0	1.355962336	0.5438205	0.708089113	0.172027349	1.389108211
0	2.165059611	0.149221182	0.121805787	0.242764711	0.947429657
0	1.822243631	0.79526335	0.929752111	-0.141646028	0.361737311
0	1.176312029	0.532698274	0.115564823	0.82257688	1.025323808
0	-0.160802364	-0.670568913	0.532108784	0.630564123	-0.323341798
0	0.581669569	0.33942169	-0.353713989	-0.024135232	1.012954593
1	0.909953058	1.948114336	-0.617775857	0.144225061	0.709024251
0	0.995211571	-0.255523205	-0.770069122	0.575752109	0.640922576
0	-0.167599499	-0.527080774	-0.360860944	-0.073537588	0.06602633
1	0.277400732	0.921014309	0.868281126	0.798980981	0.32651794
0	0.474768817	1.658936143	0.354522109	0.902271569	1.291133583
1	-0.745710611	-0.7404714	0.20438242	0.249984145	-1.271074191
1	0.944525301	-0.170734167	0.261760354	0.884283215	0.098586321
0	0.609119296	1.367491901	1.00538671	0.451554239	0.401051223
0	0.419555485	1.271683931	0.037125111	0.76428169	0.734613299
1	0.879656047	0.736211717	-1.513096958	0.988980889	1.250799835
0	0.934315383	1.08219552	-0.522905141	0.546135068	0.104975224
1	0.25487268	1.334300578	-1.832600266	1.104614139	0.411061466
0	1.056737669	0.12685132	-0.42857004	0.95176059	2.466018438
0	0.262429178	1.251683354	-0.370929152	0.742964268	0.235294715
0	0.690262079	1.798574686	-0.868645728	0.705678165	0.755350828
1	0.697947025	-0.307259321	-2.951118797	0.572917968	-0.114783049
1	0.482654542	1.604891896	-0.476015478	0.593851328	-0.269946218
0	1.212472871	-0.474417806	-1.382382497	0.435414672	1.589470148
0	0.445540398	0.348552585	-1.278809518	0.106982708	0.132264495
0	0.086170673	0.106851757	1.340852261	0.498717785	1.408021927
1	0.33768487	1.746023655	-1.182088971	0.678032279	1.097166181
1	0.944405362	-0.397076786	-0.521689534	0.645581841	-0.429110534
1	-0.022326052	1.580838382	-0.451393843	0.891353726	-0.27240178
0	0.284377635	1.241090536	1.037926435	-0.028564841	1.437884986
0	0.778132573	-0.104210019	1.204684854	0.23731482	1.771102428
0	-0.763973594	0.130932212	0.1652354	0.020324886	1.155829191
0	0.276393294	0.73203969	1.354992032	0.4670766	0.265750647
0	-0.336756051	0.842911959	0.086231232	0.188539803	0.856775582
1	0.204878509	2.058505595	-1.668881774	0.645186484	-0.41014266
0	0.801772505	0.09174037	-2.9434582	0.355223417	-0.052997768
0	0.356409371	0.85863781	-1.594565809	0.475125611	0.051305234
1	0.946291834	1.077029705	-3.20800513	0.547004044	0.009545803
1	0.549192429	0.609688044	-0.368378997	0.441899359	0.758849025
0	1.141691566	1.205480933	0.360405207	0.587958395	0.635552227
0	0.9104864	1.009031057	0.654872417	0.675787866	1.749775976
0	1.211442977	1.373410344	0.354493856	0.862106234	1.120186031
0	0.637597919	2.003001094	0.090024233	0.214376032	0.419241875
0	0.505592704	0.953304648	-0.548378229	1.058351219	-0.038713366
1	0.200986981	0.465374112	-0.132583976	0.480673313	0.028046936
0	1.337599993	0.707615852	0.582162857	0.617455363	0.648321837
0	1.131295919	0.055671096	0.321116686	0.564813972	1.688777983
0	1.739347935	-0.54936713	-0.002945185	0.218467951	0.215809166
0	1.619704127	1.129920959	0.589932084	1.034959912	0.789770037
0	0.224810064	1.220328808	1.294109106	0.316289067	0.500620842
0	0.101542532	0.809452891	0.284921646	0.554839849	0.150302112
0	-0.006872952	1.205449939	0.398719311	0.751617312	0.788997769
0	0.369701624	0.569940567	-0.723050475	0.86092186	1.141151249
1	-0.111991167	-0.094672561	0.852765441	1.124400496	-0.464517802
1	1.595850021	1.490447283	-0.309631988	0.545395195	-0.49486351
0	0.202591062	-0.198817968	-1.153392553	0.332033038	0.201812983
0	0.068143487	-0.202229083	-0.233665228	0.098264337	-7.38e-05
0	1.28649348	0.03179574	-2.128504574	0.421679437	0.346847057
0	0.354246378	0.15572536	-3.259216189	0.546897501	0.103269219
0	0.972403109	-0.019969463	-0.218574375	0.359615624	1.360138476
1	0.771552801	0.777204514	-4.660393	0.03553915	0.826006413
1	0.643964529	-0.688147545	-0.414009169	0.162546277	0.252835035
0	0.626293421	-0.309752822	-2.221034795	0.556046844	0.208272278
0	1.495955154	1.610670567	-0.055353615	0.735112607	1.208977252
