label	KIF11	EBP	CYBRD1	GPD1L
0	1.269926071	0.546922207	-1.137506723	-2.004416823
1	1.09462285	1.33327812	-2.133837998	-0.32170568
0	1.121918321	2.519778758	-0.830931425	-0.848301888
1	0.32140851	0.725871682	-1.121622562	-0.990451634
1	1.374748051	1.406044099	-1.355108619	-0.10737142
0	1.394455105	-0.407351911	0.54870379	-1.252884418
1	0.01686275	0.362114906	-1.067094237	-0.817802906
1	0.426693559	0.593407571	-0.409526944	0.042400911
1	0.380609393	0.226296335	-0.343066335	0.57068032
0	-0.437627554	-0.037848473	0.1033746	-0.316870809
1	0.903848231	0.684485823	-0.411195219	-0.136023045
1	0.011215806	0.489077158	-1.51978159	0.17595844
0	1.546638608	0.57237792	-0.756166816	-1.173032343
0	0.23564446	-0.080729663	-0.876773745	-1.614266843
0	0.482268333	0.634590238	-1.047833562	-1.013510711
0	0.812794924	1.470759869	-1.080463737	-0.476621062
0	1.434046447	0.530600205	-0.896229997	-1.236627519
0	0.926391721	0.980810493	-0.243208885	-1.723169863
0	0.924937248	0.31431222	-0.867226869	-0.228254199
0	-0.481765747	0.021184564	-1.213617265	2.064326704
0	0.094257236	0.723135024	-1.283749819	-0.187464505
1	0.249144316	0.718950093	-1.76562658	-0.057039455
0	1.115088642	1.09568847	-1.978011668	-1.131298453
0	0.357639551	0.229925752	0.627126038	-0.051444173
1	0.007472873	0.200547516	-1.488518178	-0.348543406
0	0.772767305	1.496268973	0.493389606	-0.961964726
1	-0.717223644	0.455393851	-0.284641385	0.741966724
1	0.433556914	0.883263946	1.551605225	0.579565644
0	0.933763802	1.27201885	-0.005122304	-1.029698253
0	0.613119364	1.204474762	0.467954516	-0.71983391
1	-0.258733392	0.710949838	-0.997201443	-0.719454914
0	0.509016991	0.829093307	-0.38518548	-0.506746769
1	0.66117847	0.971140683	-1.632666469	-0.599191815
0	0.132791698	1.663966238	-1.503083289	-0.817349553
0	0.439613342	0.731551737	-1.179189086	-0.355794996
0	0.926039994	1.121916294	0.866884351	-1.173445672
1	0.839600921	0.477731556	0.929819822	-0.45368278
1	0.075037241	0.185857683	0.539916277	-0.18996051
0	0.614231348	1.507152259	-0.207580686	-1.267144024
0	0.582765579	0.197433949	1.435774326	-0.828527093
0	0.059943676	0.463498116	-0.279515743	-1.521781057
1	-0.041882038	0.924584627	-2.954187572	-0.799680665
1	0.519998401	0.966817737	-1.33182013	-1.564586192
1	0.171244383	1.143064559	-0.339709163	-0.47044681
0	1.180711269	0.158298254	1.002349257	-1.035194403
0	0.001566172	0.899360597	-0.215101838	-0.582179338
0	-0.02194047	0.1048363	0.796958327	-0.994217634
0	1.398193449	0.096727744	-0.137930036	-0.708449811
0	0.684738636	0.255843718	0.208778858	0.474754125
1	0.075779319	0.759036422	-1.387461543	-0.344182551
0	0.390149593	1.237731099	-0.410241604	-0.365155965
0	1.030838013	0.477894902	-0.972591996	-0.754952688
1	0.377699137	0.471718073	-1.146721125	-0.081538767
1	0.209977508	0.511509597	-1.034490466	-0.782897204
0	0.956401467	-0.406287402	-0.958121657	-0.700804874
0	1.42131573	0.05593574	-2.129179835	-0.786059231
0	1.106833696	-0.44505915	-0.989628792	-0.905751258
0	0.085326195	-0.295719564	-0.668715596	-0.661981881
0	1.140036643	-0.342228085	-1.396921515	-0.754164249
1	0.302969575	0.763937116	0.490271449	-1.05469577
0	-0.172609568	2.005460769	-0.325591207	-0.829363182
0	0.920280218	0.604784369	0.249653697	-1.541993231
0	0.779556036	1.81915614	-0.187239885	-1.372404426
0	0.49767065	0.929588437	1.200139046	-0.471629128
0	0.440530479	1.10655348	-0.233223915	-0.596014038
0	0.046272635	2.166898429	-0.460752249	-0.907927141
0	0.46815455	1.498468637	-1.425980985	0.076032519
0	0.371734023	1.025667571	-2.349293768	-0.082310408
1	-0.134147048	0.075750589	-1.053015709	-0.203715749
1	0.657667637	-2.283011079	-2.072878361	-0.881416678
0	0.052767634	-0.057539225	-0.869657159	-1.214822054
0	0.24976027	-0.682048559	-0.159132361	-0.397547528
0	0.511906505	-0.690173849	-1.411531031	-0.42228061
0	0.512900352	-1.321275294	-1.215276033	0.071931094
0	0.566389561	0.348191559	-0.596655846	-2.631965637
1	0.355584145	0.960171103	-1.286055416	-0.639320374
1	-0.108396411	1.206251904	-1.308579981	-1.042027533
0	0.063925862	1.15414831	-1.280104011	-1.032957882
0	0.85243082	1.225219809	-1.321220338	-1.033354491
1	-0.225059092	0.608253598	0.143041492	-0.07702969
0	1.218237415	0.391659021	0.465095758	-0.809975773
0	0.147506118	-0.015813112	0.32984817	-0.225468993
0	0.424988627	0.158446312	-0.343706608	-0.575572997
0	0.313361287	0.703804731	0.478101254	0.381368518
0	0.393332124	0.116736174	-0.05885911	-0.306780696
0	0.586170197	0.160804391	-0.694523096	-0.46323815
1	0.479133606	0.39511466	-0.828683972	-0.325654536
0	0.335875869	1.214118361	-2.26388973	-2.019313693
0	0.531718373	0.617397323	-0.987850666	-1.096339762
0	-0.046714783	0.42957294	-2.234929979	-2.080720961
0	1.119275391	-0.642485976	-1.132071614	-0.167800784
0	0.545779705	-0.322076201	-0.757087231	-0.308303222
0	0.84035635	0.802904248	-0.846359491	-0.94809562
1	0.619934678	1.407758832	-2.935489327	-0.45692198
0	0.348493457	0.164064407	-1.183098555	-0.843513496
0	0.507978559	0.885602549	-1.189947486	-1.032192998
