label	COCH	GALNT3	DCUN1D2	GSDMB	FERMT1
0	-0.377392501	1.753230065	-0.299116254	-0.49176538	0.78891933
1	-3.299834758	1.113382638	0.762091897	0.167349935	-0.633958608
0	0.320289314	0.665097475	0.837362885	1.15543139	0.440137744
1	-1.837113962	2.060098767	1.530924022	0.258167028	0.719603181
1	-2.092483155	0.832437515	1.5145078	0.64204824	0.028551579
0	-2.021131575	1.411683142	0.969523013	0.633272469	1.461754084
1	-1.423232526	0.329727709	0.382147193	0.569622874	-0.098128825
1	-2.646383703	0.946691006	0.770943463	-0.444707066	0.836948693
1	-2.209799601	1.039182961	0.740988106	2.385151923	0.550022006
0	0.103929967	0.548635304	0.965818584	1.629955351	1.559160829
1	0.079418778	0.722360969	0.867987633	0.148643613	0.646033436
1	-0.301436424	1.903670669	0.799831569	0.6137591	-0.492916938
0	-0.135377645	0.966251969	-0.054727793	0.443094969	0.426099479
0	0.188653827	0.804934621	0.690364957	-0.054284155	0.038123511
0	1.063715696	1.668095589	1.138999075	1.293513	1.810565233
0	-1.315743275	1.757393003	1.253489196	0.77599448	1.389108211
0	-0.778576627	0.918657124	1.159976184	0.835867465	0.947429657
0	-4.069496959	0.573027134	1.160164207	0.710898399	0.361737311
0	-0.496119931	1.123247385	1.443662554	1.181382462	1.025323808
0	-1.102039929	2.253636897	0.728697829	0.123834819	-0.323341798
0	-0.402108997	1.414445043	0.804024637	-0.130535901	1.012954593
1	-1.812837392	1.597985744	0.640803292	1.386562586	0.709024251
0	-1.815848112	1.636954248	1.578812659	0.22363776	0.640922576
0	-2.505142525	-0.629101576	0.23132737	-0.39096117	0.06602633
1	-2.420168102	0.66551137	0.435919531	0.356729388	0.32651794
0	-1.33782351	0.680715382	1.238865435	0.955666542	1.291133583
1	-1.101087503	0.713027358	0.56661661	-0.836672544	-1.271074191
1	1.336614847	3.14522472	0.409269154	2.984648049	0.098586321
0	-0.810573369	0.209360033	1.367793024	1.562915564	0.401051223
0	-1.025575817	0.635917664	0.596412763	1.717223346	0.734613299
1	-3.007346749	1.238224387	0.603305772	0.110943198	1.250799835
0	-1.11701566	1.093116283	0.425624728	-0.568668723	0.104975224
1	-1.124606431	0.92920053	0.908785462	0.848645687	0.411061466
0	-1.642238379	1.304385364	1.217053413	-0.160088658	2.466018438
0	-1.314809546	0.349344611	0.885977536	-0.201858282	0.235294715
0	-1.519698203	1.441257626	0.907137305	0.999835253	0.755350828
1	-0.527267784	0.719654977	1.152732909	0.516615629	-0.114783049
1	-0.438296348	0.597412407	0.987303883	0.0442729	-0.269946218
0	-0.372250497	1.925319493	0.756043911	-0.398610443	1.589470148
0	-1.051563233	1.296206862	1.100471169	-1.068225168	0.132264495
0	-2.079426616	1.613957167	0.358127892	-0.229009271	1.408021927
1	-2.813378543	0.747217596	1.033649504	1.952334702	1.097166181
1	-2.437362634	0.37339437	1.847429514	-0.340134621	-0.429110534
1	-3.062958777	0.949782968	1.29619734	-1.483997226	-0.27240178
0	0.072316885	1.257586598	1.702077627	0.699133039	1.437884986
0	0.298911333	1.32725215	1.329324186	-0.669150412	1.771102428
0	-0.199032903	0.209631801	1.312809199	-0.124540925	1.155829191
0	1.061626673	0.753485054	1.57666707	0.803839862	0.265750647
0	-0.996942639	0.237103611	1.628963053	2.027705848	0.856775582
1	-3.213578194	1.875628591	0.609042674	0.436367333	-0.41014266
0	-2.634418786	0.376768827	0.766130269	0.510178268	-0.052997768
0	-1.244159281	0.767871082	0.879186034	0.855177701	0.051305234
1	-2.308449533	0.563879728	0.322744071	1.929955363	0.009545803
1	-2.098777711	0.640063822	0.869901627	0.069875717	0.758849025
0	0.474635601	1.847024798	1.278890908	1.355609417	0.635552227
0	-0.056731939	0.184317708	0.962159216	0.852448463	1.749775976
0	0.146620035	1.289729714	0.597192377	0.867339253	1.120186031
0	-0.189118862	-0.603015363	0.907863438	0.763386369	0.419241875
0	0.022500277	0.614283413	1.112726152	0.179867744	-0.038713366
1	-0.276322722	0.788787484	0.764613137	0.333791256	0.028046936
0	1.42095089	0.619642109	1.238515437	-0.630783677	0.648321837
0	1.137621522	0.865037352	0.707120806	0.059863806	1.688777983
0	0.15420866	1.926288843	0.941802889	-0.199515104	0.215809166
0	0.380880833	0.064149261	0.711439207	-0.52128458	0.789770037
0	-0.223878741	1.263198853	0.641775489	0.864480376	0.500620842
0	-0.777114987	1.736796021	0.51025103	0.193784595	0.150302112
0	0.980445981	0.872770667	0.597916067	0.739324689	0.788997769
0	0.646874428	0.777908087	0.394514903	0.878945231	1.141151249
1	-0.231921911	1.0882833	1.06005007	0.165586591	-0.464517802
1	-2.697740316	0.789610624	0.983578265	0.459961414	-0.49486351
0	-2.255413651	0.796473742	-0.008060932	-0.577490687	0.201812983
0	-1.570568323	0.657894254	0.577392727	-0.0448668	-7.38e-05
0	-2.445013463	0.81579864	0.89420861	0.051645398	0.346847057
0	-2.170970321	0.24840939	0.426247835	0.361823559	0.103269219
0	-2.292427242	1.799436212	0.355075061	0.732049167	1.360138476
1	-1.574799716	0.403024077	0.923541665	1.087209165	0.826006413
