label	SPINT1	COCH	CTSB	ERP29	POLE2
0	1.920468688	0.03503406	0.314707398	0.348749399	0.768484116
1	0.623153448	-1.933754623	0.421955943	0.800870612	-0.13471818
0	1.108905673	-0.384050131	0.195630789	0.527778029	0.425037384
0	0.473888636	-2.584205389	0.608336329	0.506950676	-0.089906693
0	1.763270468	-2.874459296	-0.332762122	-0.107220069	0.928732693
0	1.28275001	-0.722140819	0.7073493	1.080708027	1.326647162
0	1.685614467	-0.300607622	0.19346869	0.944893092	1.721294761
0	0.451611936	-0.146653175	0.413670093	0.984402001	1.51756525
0	0.149212837	0.069245756	0.289124608	0.432995319	1.111070395
0	0.956894994	-1.512312055	0.783860922	0.482728601	1.123049974
1	0.355559707	-2.122021034	0.144368708	-0.049943708	0.594813883
1	-0.161623478	-2.523508728	0.18031323	-0.812522948	0.770913124
0	0.655396104	-1.515085369	0.396964163	-0.387143023	0.15686357
0	-0.627897024	-0.414154738	0.079805374	0.888032377	0.715647697
0	0.171621323	-1.013224944	0.344513655	1.034259677	1.103846073
0	2.032458425	-0.604395092	0.355124652	0.813552737	2.167553604
