label	COCH	COX7A2	S100A10	PPA1	D2HGDH
1	-0.276322722	0.632154554	-1.049461663	0.401596472	0.383275986
0	1.42095089	1.629342437	-0.117611885	0.738901481	0.219021559
0	1.137621522	0.79636395	-0.422221661	0.794275209	0.753888369
0	0.15420866	-0.032137305	-0.007258177	0.208971143	0.506525278
0	0.380880833	1.541394919	-0.905459762	1.331124783	0.810880065
0	-0.223878741	0.536247313	-0.496706486	1.434735432	0.300192833
0	-0.777114987	0.245902061	-0.945566058	0.851268306	0.841011524
0	0.980445981	1.00889039	-0.486577272	1.996221691	0.877445102
0	0.646874428	0.642850995	-0.106749475	0.653781652	1.139395118
1	-0.231921911	0.832344711	-1.323709399	0.755980641	-0.609531522
1	-2.697740316	0.72514087	0.681153178	0.703800529	-2.516669273
0	-2.255413651	0.510464847	0.356632829	0.65793401	-0.818537474
0	-1.570568323	0.181732655	0.082287788	0.329035148	-0.16572392
0	-2.445013463	0.105150312	0.44308424	-0.144357026	-1.02003336
0	-2.170970321	0.924101889	0.418087721	0.357758015	-0.437054932
0	-2.292427242	-0.36187613	-0.616763353	0.572247744	-0.6253438
1	-1.574799716	1.030567884	-0.296395421	0.399645805	0.237494469
1	-3.353770286	0.808307737	-2.769459531	0.46582216	-0.397524595
0	-2.19869937	0.711964488	-0.127536654	-0.107620835	-0.876304626
0	-0.8926842	0.506106824	-0.187419653	0.993196234	-0.089058757
1	-1.574400589	2.266044736	-0.655665815	1.108455345	-0.702216446
0	-1.510677025	1.424089551	-0.621941328	0.746685818	-1.110622287
0	-0.913452864	-0.067062825	-0.497916132	0.41943264	-0.269040108
0	-0.637069196	-0.223765127	-0.52492705	0.279399395	-0.239516675
0	-0.237449288	1.254824936	-0.450058162	0.4493898	-0.150132835
0	-0.041457295	-0.031673819	-0.495492518	0.32414633	-0.436739385
0	-2.298992962	0.946883857	-0.119121939	1.327963799	-1.2654275
1	-0.066295922	0.468803734	-0.518407255	1.425809965	-0.60043551
0	-1.218799233	0.853705049	-1.066490591	-0.658561349	-0.598555803
0	-2.330205262	0.194318354	-0.731140316	0.513372183	-0.116151094
0	-1.399062037	0.22570616	0.623564839	0.640039802	-0.812639058
0	-0.941382632	0.449351072	-0.673044205	0.607444435	-0.634767234
0	-1.164921552	0.067495599	-1.162367702	-0.5411053	-0.799595058
0	-2.098334908	0.111387342	-0.865923464	0.281524181	-0.320994616
1	-4.215618342	0.676893651	-0.596379876	0.873230755	-0.515946925
0	-0.258844703	0.491607845	-0.282655597	0.760420002	-0.377864785
0	-0.480220795	0.103524327	0.692835033	0.233118713	-0.20341301
0	0.03503406	0.378314614	-0.882410824	1.271010876	0.739652693
1	-1.933754623	0.541901588	-0.192932487	0.092719525	-0.984612584
0	-0.384050131	0.5332762	-0.796499372	0.363110304	0.97447598
0	-2.584205389	0.636892021	-0.848072052	0.351304114	0.126222849
0	-2.874459296	-0.138185024	0.285920799	0.880503535	0.839030981
0	-0.722140819	-0.105879486	-1.038835645	0.862617075	0.693107009
0	-0.300607622	0.555295408	-0.992495358	0.660034545	-0.582051575
0	-0.146653175	-0.055575222	-0.602379203	0.362401932	-0.038804293
0	0.069245756	-0.098145872	-0.35596019	0.473882318	-0.197756827
0	-1.512312055	0.594431192	0.042853534	0.236540556	-0.179655313
1	-2.122021034	0.33885479	-0.532581687	0.144133329	-0.697047263
1	-2.523508728	0.381153643	0.256161988	0.447205544	-0.738080189
0	-1.515085369	1.737657398	-0.781600565	0.283746541	-0.505195089
0	-0.414154738	0.492717862	0.953377545	0.832322955	-0.336501107
0	-1.013224944	3.868392944	-0.365092114	1.159264207	-0.195324939
0	-0.604395092	2.337642908	0.96465677	0.047599554	-0.156940937
