label	PLSCR1	COCH	RPL10	GPD1L	USP28
0	1.434679508	-0.377392501	1.017667294	-2.004416823	1.454240099
1	1.160985827	-3.299834758	0.420874834	-0.32170568	0.243231237
0	0.409300089	0.320289314	0.492313504	-0.848301888	0.41182363
1	1.055083513	-1.837113962	0.786556482	-0.990451634	0.384294152
1	0.688256025	-2.092483155	0.016425133	-0.10737142	0.972389244
0	2.304356575	-2.021131575	0.156674147	-1.252884418	0.480018288
1	0.290064096	-1.423232526	0.626581311	-0.817802906	-0.252217948
1	0.865764618	-2.646383703	0.999955118	0.042400911	0.218116403
1	0.394611359	-2.209799601	0.507070899	0.57068032	0.627500236
0	-0.166777492	0.103929967	1.008077443	-0.316870809	0.016173899
1	1.224384546	0.079418778	0.067944944	-0.136023045	-0.899533927
1	1.3866992	-0.301436424	0.318047464	0.17595844	-0.05932945
0	0.664309263	-0.135377645	0.441101193	-1.173032343	-0.584981769
0	0.676808596	0.188653827	0.969453633	-1.614266843	-0.622932434
0	1.24001801	1.063715696	0.817173719	-1.013510711	0.618114948
0	1.114087462	-1.315743275	-0.464458942	-0.476621062	0.068607382
0	0.831131339	-0.778576627	0.212354779	-1.236627519	0.454756483
0	0.591123104	-4.069496959	0.34546411	-1.723169863	-0.076512456
0	0.675872922	-0.496119931	0.072642565	-0.228254199	0.425644815
0	-0.543616891	-1.102039929	1.542638719	2.064326704	-0.724088907
0	1.31136775	-0.402108997	0.119902134	-0.187464505	-1.61791572
1	1.883854985	-1.812837392	-0.137323022	-0.057039455	-0.94502401
0	0.898454189	-1.815848112	-0.02751863	-1.131298453	0.260249794
0	-0.34924674	-2.505142525	0.061089635	-0.051444173	-0.407530874
1	0.485539198	-2.420168102	1.343393117	-0.348543406	-1.388091564
0	1.329569817	-1.33782351	1.488339424	-0.961964726	0.096807599
1	-0.518346488	-1.101087503	1.090001225	0.741966724	-0.363454223
1	0.452217817	1.336614847	0.856825709	0.579565644	0.602273405
0	0.871875048	-0.810573369	1.074151516	-1.029698253	-0.097837448
0	0.621041059	-1.025575817	1.10429728	-0.71983391	0.753629729
1	0.636291504	-3.007346749	1.433520675	-0.719454914	-1.318163097
0	1.093265057	-1.11701566	0.552677631	-0.506746769	-0.974618837
1	1.035649776	-1.124606431	0.262187958	-0.599191815	-1.689932004
0	0.202940226	-1.642238379	1.952003837	-0.817349553	-0.353619158
0	0.686222434	-1.314809546	0.780466318	-0.355794996	-0.966021776
0	1.076939106	-1.519698203	1.559775233	-1.173445672	0.434041083
1	0.056696177	-0.527267784	2.109073162	-0.45368278	1.539366901
1	-0.056792736	-0.438296348	-0.339357853	-0.18996051	1.06117475
0	1.314565301	-0.372250497	0.052564383	-1.267144024	0.704755485
0	0.41283536	-1.051563233	1.092940807	-0.828527093	0.578479052
0	0.843739331	-2.079426616	-0.615440845	-1.521781057	0.90855813
1	0.860587299	-2.813378543	0.931759119	-0.799680665	1.637160122
1	-0.31912984	-2.437362634	1.622762561	-1.564586192	1.4967013
1	-0.334601164	-3.062958777	0.415275335	-0.47044681	1.789676249
0	0.833270788	0.072316885	0.361691236	-1.035194403	2.239475921
0	-0.27517581	0.298911333	1.608114719	-0.582179338	0.794599801
