label	NDUFAB1	SPINT1	MCM2	KIF11	S100A10
0	0.121532321	0.959338725	1.556670301	1.269926071	0.240585387
1	1.335181057	0.846619844	0.507470191	1.09462285	-0.542335376
0	1.362819672	0.862244129	1.02880311	1.121918321	0.971143901
1	0.890515327	0.988760114	0.522398114	0.32140851	0.678054214
1	0.920183063	0.159970403	1.046696514	1.374748051	-1.277561456
0	0.457108259	0.194375396	1.475581005	1.394455105	-0.918403625
1	0.691799045	0.498855352	0.399879217	0.01686275	-0.301330239
1	1.286894768	1.043384671	1.243934184	0.426693559	-1.177572668
1	1.3015064	0.891966224	1.429908171	0.380609393	-0.574301496
0	0.853261292	0.73657155	0.579171121	-0.437627554	0.626640737
1	0.558674216	0.136729956	0.96420978	0.903848231	-0.746708758
1	1.244881272	1.077299356	0.980350018	0.011215806	0.367921948
0	0.552599192	0.803554654	0.942985915	1.546638608	-0.10363701
0	1.006592989	0.649518251	0.155365437	0.23564446	-0.182770133
0	1.008091748	1.734424353	0.988963418	0.482268333	0.143287778
0	1.384024024	1.682649076	1.144256905	0.812794924	0.080200195
0	0.247751594	0.57465595	1.286909014	1.434046447	0.185368776
0	0.498321176	0.763596117	0.736044288	0.926391721	0.179347992
0	0.694940984	1.554220557	1.456918716	0.924937248	0.738490582
0	1.183607459	1.119998574	-0.515120268	-0.481765747	0.13855052
0	0.901693702	0.937916994	1.618202865	0.094257236	-0.206435859
1	0.655029178	0.727148175	1.8898286	0.249144316	-0.857323401
0	0.526193619	1.464301109	1.856641352	1.115088642	-0.803264648
0	0.458483696	-0.357256174	-0.041972905	0.357639551	-0.43605417
1	1.03444922	1.32166338	0.807312131	0.007472873	-1.45154389
0	0.752164006	1.052151203	1.494573906	0.772767305	-0.298965991
1	1.024351001	0.416936636	-0.737906456	-0.717223644	-2.400378227
1	1.093582302	0.50948	1.391535848	0.433556914	-1.336602032
0	0.079303563	1.259413004	1.359254062	0.933763802	-0.403156355
0	0.663110614	1.086316586	1.432360291	0.613119364	-0.79808253
1	0.331782103	0.453131676	1.601458117	-0.258733392	-0.231654882
0	0.594268203	-0.111674309	1.301577777	0.509016991	-0.968713708
1	0.493304491	0.60459125	1.852455378	0.66117847	-1.015028715
0	0.233522475	1.521371722	1.966456622	0.132791698	-0.459541321
0	0.751069427	0.529736161	0.958019465	0.439613342	-0.118819058
0	0.763850629	1.285675764	1.877948403	0.926039994	-0.890280873
1	0.472452134	1.440630913	0.966417909	0.839600921	-1.059778035
1	0.728756785	-0.334305882	0.628717899	0.075037241	-1.14782244
0	0.855402708	0.71868968	1.019958496	0.614231348	-0.763810337
0	0.133772731	0.619355798	1.555196583	0.582765579	0.359596968
0	0.540387154	0.564126849	0.031369865	0.059943676	-0.667898536
1	0.629036427	0.587296605	1.107574344	-0.041882038	-0.747656822
1	1.145813107	0.462458491	1.914465904	0.519998401	-1.555491507
1	0.782145739	0.584246814	0.335141435	0.171244383	0.398514181
0	-0.000988841	1.693497598	1.434940606	1.180711269	-1.061494589
0	0.351485372	0.97223115	1.073475629	0.001566172	0.561915874
0	0.114362359	0.667147636	0.811822012	-0.02194047	-0.561206937
0	0.472516298	0.640848875	0.978684634	1.398193449	-0.174780965
0	0.457230091	0.645522237	1.170865402	0.684738636	-1.123174131
1	1.026497066	0.536859751	0.275969863	0.075779319	-0.304453552
0	0.412133217	0.179179549	0.672346711	0.390149593	-0.20819205
0	0.961118996	1.590186834	0.862727221	1.030838013	-1.173452903
1	0.481853843	0.758452415	1.478498131	0.377699137	-1.467741638
1	0.502221584	0.139630079	0.905388542	0.209977508	-0.175269485
0	1.40233916	2.121824861	1.250356704	0.956401467	0.377359867
0	0.262881935	1.588409424	1.147764325	1.42131573	0.089190722
0	0.586763263	1.451609135	1.74926886	1.106833696	0.331055641
0	1.024534225	-0.034706831	1.193016686	0.085326195	-0.173195481
0	1.317845166	2.139394164	0.575919926	1.140036643	0.019129515
1	0.399777293	-0.155793548	0.949683368	0.302969575	-1.049461663
0	0.035577834	0.712379217	0.326738298	-0.172609568	-0.117611885
0	0.35136047	0.853554249	0.871331781	0.920280218	-0.422221661
0	0.469513297	1.388113499	0.471517801	0.779556036	-0.007258177
0	1.1943115	0.111032844	0.718565285	0.49767065	-0.905459762
0	0.324967802	0.319952607	0.441134438	0.440530479	-0.496706486
0	0.875221729	0.515733182	0.785709843	0.046272635	-0.945566058
