label	SPRR2D	DSG3	PKP1	PKP3
1	-0.952074111	-0.483610213	0.290713519	1.294827998
0	-3.705765843	-2.106888354	-1.19463259	-0.343015432
1	0.017756104	2.910556316	1.730605781	1.144177973
0	-2.363664746	0.637875795	1.580429733	1.212770224
0	-1.979799509	-0.526599884	-0.057921171	0.275111914
1	-0.738362074	2.541122198	1.843903303	1.769626498
0	-1.199598432	1.224731565	0.478324771	0.015771002
0	-1.914436102	-0.11606288	-0.469224095	0.721059203
0	-1.654750943	0.080716491	0.228264451	-0.293802321
1	-0.625379682	0.454271078	1.654772758	1.890976131
0	-2.258195639	0.91985631	0.648549795	0.56889832
0	-2.607627362	0.521981955	1.884347677	0.83640492
1	0.409606695	2.097880363	1.637882978	1.493448585
1	-0.633731365	-0.178397894	0.229952902	1.293181837
1	1.149140418	1.259634554	1.117016315	2.37732476
1	0.51493749	1.20027113	1.617194653	0.817284703
1	-0.014925361	1.624999642	1.88283658	1.40442276
1	-1.264785528	1.566560388	-0.296149135	0.640335679
1	0.806484058	1.475238562	1.192121089	1.470535934
0	-0.660128355	-0.60472776	-0.557534546	0.834825873
1	0.226379752	1.089404583	0.259915113	1.553997755
0	-0.545261621	-0.060406923	-0.331456125	1.391022325
1	0.84854579	1.219861269	1.12665081	1.041879654
0	-2.460913777	-0.012135863	0.66155076	-0.124319077
0	-3.359703772	-1.744197637	-1.412727445	0.350643873
1	0.312360287	1.978101134	0.655043125	1.127762496
0	-3.342329979	-2.363614306	-2.417874783	-0.233733594
0	-3.300673299	-1.607290491	-1.365741193	0.701403022
1	0.709402204	1.815707684	1.762071013	1.779781044
1	-1.322468042	1.752881885	1.041969955	0.849429905
0	-3.569370031	-1.40708518	-1.478426337	0.841880798
0	-3.480082393	-1.881394982	-1.90912962	-0.940291643
0	-3.805721879	0.731190324	-0.047917366	0.260869384
1	-2.507916689	0.607409954	0.176473022	1.360870838
0	-0.988466144	0.302443862	0.752721786	0.609746858
1	0.361666799	2.033243418	2.001672983	2.375994802
0	-2.643066466	0.293099642	0.017227888	0.063062668
0	0.212772161	1.139908791	0.566933155	2.187679172
1	0.639556527	0.677258611	0.542781353	1.012644291
1	-0.239251524	2.149644852	2.0256567	1.224850297
1	1.90725112	1.699789762	0.963230491	1.460477114
0	-1.324041039	1.439425826	0.310989857	0.616354227
0	-0.728212178	-1.929889113	0.637656987	1.766938031
0	-0.773516193	0.115466714	0.246286511	1.592483759
1	0.487154722	2.137399077	1.261848927	2.106754839
1	0.234785557	0.960737288	1.142283171	2.199376404
1	0.783685923	1.342624426	0.961452365	0.503868103
1	1.562026739	1.4614048	1.843541622	0.271377206
1	-0.311770141	0.366604447	0.491096258	1.038091481
0	-1.14914155	-1.657413602	-0.661966801	-0.049902737
0	-1.993608952	-0.352874875	0.201288104	-0.110256016
1	-0.500374794	1.059557676	0.759458899	1.452325344
0	-3.34874779	0.426048517	0.25846529	0.381604433
0	-0.775516868	0.806874275	0.680844426	-0.340842605
1	1.275014043	1.39477402	1.102307081	0.523809731
1	0.670366466	1.081878841	1.938560605	1.161666572
1	0.298607051	1.700033933	2.072766662	1.830625474
1	0.334625721	0.967748046	1.272317052	0.965526044
1	0.57227236	2.371924162	1.795845628	2.17039603
0	-1.817957938	-1.169141591	-0.834868431	-0.4609375
1	-0.118440866	2.221120775	1.386689126	1.444208026
1	1.336201727	1.905450106	2.092680275	2.205420554
1	2.282634497	2.02156496	2.548617244	1.077630162
1	-0.633370578	0.154816091	-0.110107064	0.790554136
1	1.491883278	1.384138823	1.425661922	1.523359299
1	1.82938686	0.527861834	0.75943476	0.92656374
1	-0.813788772	0.250195384	1.039400101	1.3418957
1	-0.69755419	2.022496104	2.525497675	1.917648792
0	-3.03133598	-2.260929883	-2.169772208	-1.815006763
0	-0.161917925	-0.532941461	-0.189922512	0.55556345
0	-0.930370688	-0.911929697	-0.449490279	-0.963370442
0	-0.733809888	-0.317775011	0.121861517	-0.315067887
0	-2.77546382	-0.041139603	0.312350631	-0.580783129
0	-2.651014566	0.244779587	0.335314751	-0.588377237
0	2.302135706	1.21116519	1.91594243	1.351354301
0	-2.3439219	-0.262428761	0.585303545	-1.720214725
0	-1.40164271	-1.428212717	-0.797341228	-0.251877204
0	-1.14231652	-1.209443212	-0.534245253	-0.457167104
1	2.09771204	1.604264915	1.366835237	1.977550894
0	-2.154346049	-1.297131464	0.104940057	2.16186595
1	-1.215102822	2.802070618	1.252581358	0.964727163
0	-0.946532547	-0.412802339	0.632944465	-0.241349488
0	-1.947260804	-0.278241515	-0.64415741	-1.457920492
0	-1.258525625	-0.025918961	0.147083163	0.426709712
0	-1.262845755	-0.685311794	-0.478830695	-0.459258795
1	1.287776828	0.991188765	0.958706617	1.287573516
0	-0.896458983	0.095634609	0.655570209	0.625740886
0	0.063188672	-0.264776826	0.672431827	0.552831769
1	1.983648062	1.612497091	2.013208985	1.354186475
0	1.839734554	1.934806466	2.389015913	1.872441888
0	-3.139059708	-0.74237597	-1.094403863	-1.573235631
0	-1.41732356	0.264504194	-0.358501434	-0.559641838
0	0.476600885	1.023282647	1.073765874	0.828682303
0	-0.766852736	-0.982160211	1.621379256	1.243073225
1	2.434230715	0.55191803	1.621841788	-0.107215226
0	1.719737947	1.68628788	2.367506921	0.435288846
0	-0.059397221	-0.507246256	-0.330015242	1.238859892
0	-3.721434236	1.04515028	1.640809298	-0.620094538
0	-0.039341807	1.779273331	1.695512056	1.011872172
0	-0.630370617	0.113221765	-0.311604023	-0.030809402
1	1.525888562	1.085137546	2.325777113	0.971230149
1	3.861295581	1.279882908	1.632135391	1.158973813
1	-2.602385521	0.082717061	0.820649385	0.467270494
1	-1.867234349	1.964669228	1.49608326	1.16556865
0	-1.072552562	-0.476208001	-0.788323283	-0.242995054
1	1.322675467	1.175967813	1.730998993	1.073952794
0	-1.490204155	-1.443200108	-1.664008796	-0.663588077
0	0.628674269	-0.052042961	1.094519377	1.51626879
1	-1.002629042	1.491725802	0.509962797	1.379456639
0	-1.721084595	-0.087209463	-0.042156219	0.945155621
1	-1.730209559	0.521040112	0.577047944	1.502775788
1	-1.9151842	0.783881187	1.980997503	1.189278364
