label	DSG3	KRT20	PKP1	SERPINB12	PKP3
1	-0.483610213	-0.189360201	0.290713519	-0.61544764	1.294827998
0	-2.106888354	-4.693581842	-1.19463259	0.285953283	-0.343015432
1	2.910556316	1.76798439	1.730605781	0.398599625	1.144177973
0	0.637875795	-3.407200694	1.580429733	0.85636878	1.212770224
0	-0.526599884	-3.333491921	-0.057921171	0.243334293	0.275111914
1	2.541122198	0.970612288	1.843903303	-2.871154279	1.769626498
0	1.224731565	0.389320135	0.478324771	-1.215675682	0.015771002
0	-0.11606288	-0.873212576	-0.469224095	-3.698507369	0.721059203
0	0.080716491	-2.613679916	0.228264451	-3.629197069	-0.293802321
1	0.454271078	-1.145806313	1.654772758	-0.569026709	1.890976131
0	0.91985631	-2.783936918	0.648549795	0.376340032	0.56889832
0	0.521981955	0.511495352	1.884347677	0.121727586	0.83640492
1	2.097880363	0.98926264	1.637882978	-0.48587501	1.493448585
1	-0.178397894	-0.212672561	0.229952902	0.477988482	1.293181837
1	1.259634554	1.244938612	1.117016315	0.251922607	2.37732476
1	1.20027113	2.149188399	1.617194653	-0.313478947	0.817284703
1	1.624999642	-1.20544374	1.88283658	1.004055738	1.40442276
1	1.566560388	-3.081721783	-0.296149135	-0.406314135	0.640335679
1	1.475238562	0.244598269	1.192121089	-0.1069628	1.470535934
0	-0.60472776	-0.076617658	-0.557534546	0.558972359	0.834825873
1	1.089404583	1.328257322	0.259915113	0.579400122	1.553997755
0	-0.060406923	-2.212710083	-0.331456125	-2.050197333	1.391022325
1	1.219861269	-0.593065977	1.12665081	0.037464857	1.041879654
0	-0.012135863	-1.162555277	0.66155076	-1.918883532	-0.124319077
0	-1.744197637	-2.87884742	-1.412727445	-0.920287639	0.350643873
1	1.978101134	-2.330246329	0.655043125	0.45590663	1.127762496
0	-2.363614306	-3.714558363	-2.417874783	-1.753144801	-0.233733594
0	-1.607290491	-1.858700037	-1.365741193	-0.766972125	0.701403022
1	1.815707684	-0.674669921	1.762071013	0.399873644	1.779781044
1	1.752881885	-0.33533895	1.041969955	-0.084030479	0.849429905
0	-1.40708518	-2.729613543	-1.478426337	-0.69644165	0.841880798
0	-1.881394982	-3.47889702	-1.90912962	-1.828451648	-0.940291643
0	0.731190324	-1.760877848	-0.047917366	-1.961322337	0.260869384
1	0.607409954	-1.961293757	0.176473022	-1.214352697	1.360870838
0	0.302443862	0.265008569	0.752721786	-0.375126511	0.609746858
1	2.033243418	1.076780081	2.001672983	-1.312860832	2.375994802
0	0.293099642	-0.24575758	0.017227888	-1.491711855	0.063062668
0	1.139908791	1.95731914	0.566933155	0.725899696	2.187679172
1	0.677258611	0.020743251	0.542781353	-1.214647532	1.012644291
1	2.149644852	-1.627589211	2.0256567	-2.677061319	1.224850297
1	1.699789762	-0.182015777	0.963230491	-0.018377542	1.460477114
0	1.439425826	-1.027129173	0.310989857	0.643979311	0.616354227
0	-1.929889113	-1.297167093	0.637656987	0.745758891	1.766938031
0	0.115466714	-0.087052524	0.246286511	0.057169199	1.592483759
1	2.137399077	2.327340722	1.261848927	-0.431565046	2.106754839
1	0.960737288	-0.139509439	1.142283171	-0.382135302	2.199376404
1	1.342624426	-0.416099787	0.961452365	-0.324852109	0.503868103
1	1.4614048	0.623877525	1.843541622	3.667075157	0.271377206
1	0.366604447	0.427579761	0.491096258	2.637402177	1.038091481
0	-1.657413602	-1.595513463	-0.661966801	-1.82335037	-0.049902737
0	-0.352874875	-0.935772181	0.201288104	-1.116222352	-0.110256016
1	1.059557676	-1.888150454	0.759458899	1.763683915	1.452325344
0	0.426048517	-1.685661376	0.25846529	0.74206996	0.381604433
0	0.806874275	-1.789462507	0.680844426	-0.39769268	-0.340842605
1	1.39477402	0.255648017	1.102307081	0.631770611	0.523809731
1	1.081878841	-1.16303426	1.938560605	0.227641106	1.161666572
1	1.700033933	0.823418021	2.072766662	-0.01941824	1.830625474
1	0.967748046	-0.195276797	1.272317052	-0.108279467	0.965526044
1	2.371924162	0.186360955	1.795845628	-0.281702995	2.17039603
0	-1.169141591	-0.805155516	-0.834868431	0.350690007	-0.4609375
1	2.221120775	2.134910792	1.386689126	0.159615278	1.444208026
1	1.905450106	0.754458427	2.092680275	0.889151454	2.205420554
1	2.02156496	2.714166462	2.548617244	0.160615921	1.077630162
1	0.154816091	-0.446738526	-0.110107064	0.297783613	0.790554136
1	1.384138823	0.214813411	1.425661922	-0.158790827	1.523359299
1	0.527861834	0.659497023	0.75943476	0.158948898	0.92656374
1	0.250195384	0.407495856	1.039400101	0.301842451	1.3418957
1	2.022496104	1.089772701	2.525497675	-0.263922095	1.917648792
0	-2.260929883	-2.995444	-2.169772208	1.01028657	-1.815006763
0	-0.532941461	-0.974329263	-0.189922512	-0.50194943	0.55556345
0	-0.911929697	-1.291519344	-0.449490279	-2.274699092	-0.963370442
0	-0.317775011	-0.799305439	0.121861517	-0.651514292	-0.315067887
0	-0.041139603	-3.728803694	0.312350631	-2.166304171	-0.580783129
0	0.244779587	-2.776928723	0.335314751	-3.282123268	-0.588377237
0	1.21116519	1.244941235	1.91594243	-0.221076488	1.351354301
0	-0.262428761	-2.862985134	0.585303545	-2.960230708	-1.720214725
0	-1.428212717	-1.509792328	-0.797341228	-0.31438899	-0.251877204
0	-1.209443212	-1.948752522	-0.534245253	-2.003745079	-0.457167104
1	1.604264915	-0.529187546	1.366835237	-0.408936143	1.977550894
0	-1.297131464	0.484157324	0.104940057	-0.656538308	2.16186595
1	2.802070618	0.044549704	1.252581358	2.980292827	0.964727163
0	-0.412802339	-0.631992728	0.632944465	-0.711197495	-0.241349488
0	-0.278241515	-0.762030721	-0.64415741	-1.661774278	-1.457920492
0	-0.025918961	-1.177266121	0.147083163	-1.108766094	0.426709712
0	-0.685311794	-0.778913498	-0.478830695	-1.473487377	-0.459258795
1	0.991188765	-0.526405931	0.958706617	2.466592431	1.287573516
0	0.095634609	0.306144983	0.655570209	-0.215598822	0.625740886
0	-0.264776826	-0.161794931	0.672431827	0.522598088	0.552831769
1	1.612497091	-0.207237601	2.013208985	-1.309491098	1.354186475
0	1.934806466	-1.044278264	2.389015913	0.461477727	1.872441888
0	-0.74237597	-4.086142957	-1.094403863	-0.932751313	-1.573235631
0	0.264504194	-0.971361518	-0.358501434	-1.198902488	-0.559641838
0	1.023282647	0.143065035	1.073765874	-0.591769189	0.828682303
0	-0.982160211	-2.603669524	1.621379256	0.687389612	1.243073225
1	0.55191803	-0.274934545	1.621841788	1.028244019	-0.107215226
0	1.68628788	0.546363592	2.367506921	0.29640615	0.435288846
0	-0.507246256	0.41378808	-0.330015242	-0.170842409	1.238859892
0	1.04515028	-3.962135509	1.640809298	0.321630597	-0.620094538
0	1.779273331	1.33773756	1.695512056	2.151296377	1.011872172
0	0.113221765	-0.721945286	-0.311604023	-0.605637908	-0.030809402
1	1.085137546	-2.176809713	2.325777113	-0.704727635	0.971230149
1	1.279882908	0.019519687	1.632135391	-0.346517324	1.158973813
1	0.082717061	-1.563624918	0.820649385	-2.321307063	0.467270494
1	1.964669228	0.341502666	1.49608326	-1.512417555	1.16556865
0	-0.476208001	-1.983719409	-0.788323283	-1.716872275	-0.242995054
1	1.175967813	-0.031848073	1.730998993	2.182171464	1.073952794
0	-1.443200108	-1.379720926	-1.664008796	-0.796868056	-0.663588077
0	-0.052042961	0.149280548	1.094519377	-1.455895662	1.51626879
1	1.491725802	0.935411453	0.509962797	-1.29511705	1.379456639
0	-0.087209463	-1.019284248	-0.042156219	-2.45939374	0.945155621
1	0.521040112	0.183961868	0.577047944	-0.019972607	1.502775788
1	0.783881187	-0.634422027	1.980997503	-0.419929624	1.189278364
