label	KRT5	SDC1	CALML3	DSG3	RHCG
1	2.683607221	1.168106377	0.428795144	-0.483610213	-0.149635017
0	-1.526312351	-1.808997944	-1.677018404	-2.106888354	-0.919730663
1	1.846073031	2.55764997	2.094045639	2.910556316	2.338716745
0	-0.298414946	0.291505575	1.84763813	0.637875795	0.840420246
0	-1.679459095	-1.206197619	-0.412558198	-0.526599884	-3.013056576
1	2.460405588	1.157944381	0.536288261	2.541122198	-1.39914012
0	-0.54642868	0.882138729	1.261764467	1.224731565	0.057042599
0	1.608788013	-1.255642295	-0.44131887	-0.11606288	-0.712642431
0	-0.612143397	-0.749455035	-1.786542445	0.080716491	0.016535044
1	0.882649183	1.05184269	0.898416519	0.454271078	0.441083431
0	0.711498141	1.054555655	-0.420322418	0.91985631	-2.426571906
0	0.522231579	1.813916951	1.410393953	0.521981955	-0.802741051
1	1.934709966	3.111737043	2.102725059	2.097880363	-0.066648133
1	0.907776356	1.439057171	1.947466671	-0.178397894	0.141769171
1	1.432179481	1.117341399	1.109436035	1.259634554	1.704595208
1	1.639937758	1.33945626	1.399806261	1.20027113	-0.381125927
1	1.653248549	1.109946132	0.679811716	1.624999642	-1.060762763
1	0.317843914	-0.033397317	0.264055252	1.566560388	0.399062157
1	0.368597269	0.643585563	1.65696907	1.475238562	-0.927282572
0	-0.643838584	-0.215206761	1.857056081	-0.60472776	-0.451939404
1	1.913479447	2.06496191	1.91384238	1.089404583	-0.729613125
0	0.259502769	0.7974087	-0.516847372	-0.060406923	-0.635326624
1	0.970978737	1.339563012	0.770608664	1.219861269	-1.041738093
0	0.262722969	0.907021761	-1.239761829	-0.012135863	-0.7829476
0	-2.281556077	-1.63622123	-3.424622975	-1.744197637	-1.41629488
1	1.891585112	1.943206072	0.294142723	1.978101134	-1.598071992
0	-2.656278908	-2.020672441	-3.847576991	-2.363614306	-0.711454868
0	-1.531934857	-0.607013524	-2.941731095	-1.607290491	-1.346716166
1	0.694405556	1.10921979	3.32497251	1.815707684	-0.038491488
1	1.315581739	1.493463874	0.248852491	1.752881885	-0.853852272
0	1.123004198	-0.481908798	-1.643028259	-1.40708518	-2.200573415
0	0.738869667	-0.222350121	-2.735104024	-1.881394982	-2.715950213
0	1.074923515	0.708176374	0.039775133	0.731190324	-1.57869637
1	1.466881394	1.339293003	1.939714074	0.607409954	-0.124959588
0	1.69045198	1.658476517	1.098574519	0.302443862	-0.958715171
1	1.255102217	1.996104002	1.340406746	2.033243418	0.85223788
0	1.184860945	0.978600025	0.240630269	0.293099642	-0.784264684
0	1.864751697	0.466716766	1.159613967	1.139908791	1.490938693
1	1.736614525	1.275636196	-0.342822269	0.677258611	-1.357647613
1	0.304039776	2.732139826	2.249649048	2.149644852	0.784044623
