Subtype	Sample	Kinase	Activity
SI	P001	HIPK2	5.555312123152952e-11
SII	P002	HIPK2	2.1578668395478078e-09
SI	P003	HIPK2	0.004934991946389083
SII	P004	HIPK2	0.00017333695335906805
SII	P005	HIPK2	0.2308958974321465
SI	P006	HIPK2	2.1679449851212873e-24
SII	P007	HIPK2	3.799291473823567e-09
SII	P008	HIPK2	6.027720598233032e-14
SII	P009	HIPK2	0.35750225755494547
SI	P010	HIPK2	0.010675100297435694
SII	P011	HIPK2	0.00029714730272671424
SII	P012	HIPK2	0.005989761604959073
SI	P013	HIPK2	2.8687298498880873e-06
SI	P014	HIPK2	5.022223026934552e-22
SI	P015	HIPK2	3.2338541268788336e-07
SI	P016	HIPK2	1.839082308670801e-05
SI	P017	HIPK2	0.00022551130792601746
SI	P018	HIPK2	2.440628234924191e-11
SI	P019	HIPK2	3.267824971685388e-05
SI	P020	HIPK2	3.3255719565610787e-08
SI	P021	HIPK2	1.1284786456608475e-07
SII	P022	HIPK2	1.2045303364081718e-07
SI	P023	HIPK2	1.0342201783868686e-05
SII	P025	HIPK2	4.605818156328272e-06
SI	P026	HIPK2	1.3702456839559556e-13
SII	P027	HIPK2	0.0001800487158185057
SII	P028	HIPK2	0.3825917341903371
SI	P029	HIPK2	1.113638241724844e-07
SI	P030	HIPK2	9.765968243770879e-08
SII	P031	HIPK2	3.1387566529238014e-08
SIII	P032	HIPK2	1.5038467677084526e-05
SII	P033	HIPK2	1.5585012051934704e-05
SI	P034	HIPK2	6.681474884983103e-11
SIII	P035	HIPK2	5.248668979829066e-06
SI	P036	HIPK2	1.0883521700622339e-23
SII	P037	HIPK2	0.0001916912583573545
SII	P038	HIPK2	0.0004963977625350356
SI	P039	HIPK2	7.160849269047732e-08
SI	P040	HIPK2	8.260711263184476e-22
SI	P041	HIPK2	2.1495363042686504e-06
SII	P042	HIPK2	0.001838006264636689
SII	P043	HIPK2	1.8752740644733603e-10
SII	P044	HIPK2	4.794695507370637e-06
SI	P046	HIPK2	2.3423646297705193e-13
SI	P047	HIPK2	1.6917941121375339e-09
SI	P048	HIPK2	1.7386519491358308e-09
SI	P049	HIPK2	0.23940699298220924
SI	P050	HIPK2	1.1899357913853331e-13
SII	P051	HIPK2	3.5053586250704477e-15
SIII	P052	HIPK2	0.0003811552868201202
SI	P053	HIPK2	3.03853960471149e-08
SII	P054	HIPK2	0.005897431062751751
SII	P055	HIPK2	3.5543026204122194e-05
SI	P056	HIPK2	1.2036281588117372e-08
SI	P057	HIPK2	0.010047660154092216
SI	P058	HIPK2	0.0002845039598079824
SI	P059	HIPK2	0.016098795733268917
SI	P060	HIPK2	5.783771995640804e-14
SII	P061	HIPK2	0.0014137269618344785
SI	P062	HIPK2	7.48637364651671e-07
SI	P063	HIPK2	5.475054934904188e-10
SI	P064	HIPK2	2.513534128097693e-06
SI	P065	HIPK2	3.188693537099583e-10
SI	P066	HIPK2	9.60369101773073e-13
SI	P067	HIPK2	3.139901350393866e-13
SI	P068	HIPK2	2.258721473591986e-10
SI	P069	HIPK2	2.1419337609955676e-07
SII	P070	HIPK2	0.008555952501878386
SII	P071	HIPK2	6.469957465400667e-07
SIII	P072	HIPK2	6.999984278510943e-05
SIII	P073	HIPK2	0.013332889392970693
SIII	P074	HIPK2	0.00031179823045134807
SIII	P075	HIPK2	0.45056027446506486
SIII	P076	HIPK2	0.002006150315373961
SII	P077	HIPK2	2.592733100323069e-06
SII	P078	HIPK2	0.00013607032392919582
SIII	P079	HIPK2	2.7869039531448668e-05
SI	P080	HIPK2	0.00027147882824235997
SII	P081	HIPK2	2.342501694767198e-08
SI	P082	HIPK2	3.0837904783088405e-10
SIII	P083	HIPK2	0.004156261326691243
SIII	P084	HIPK2	0.005473664686995159
SIII	P085	HIPK2	0.0581725525261941
SIII	P086	HIPK2	0.6927383870892315
SI	P087	HIPK2	1.5327353317263813e-05
SII	P088	HIPK2	0.49324832406749
SIII	P089	HIPK2	4.155945270440406e-06
SI	P090	HIPK2	2.2066192703988656e-05
SIII	P091	HIPK2	1.1905324887050603e-07
SIII	P092	HIPK2	0.1476927544298426
SIII	P093	HIPK2	0.2801943103876656
SIII	P094	HIPK2	0.01260932750906653
SII	P095	HIPK2	0.0430471487055073
SI	P096	HIPK2	3.3263851991008736e-12
SIII	P097	HIPK2	4.5535435690147464e-08
SIII	P098	HIPK2	3.2688410731480976e-12
SII	P099	HIPK2	0.16803993063801131
SIII	P100	HIPK2	0.0002810965665673551
SIII	P101	HIPK2	0.0009028852298047149
SI	P102	HIPK2	1.044853296263409e-06
SI	P104	HIPK2	3.7668319334521666e-12
SI	P105	HIPK2	1.7810658879339232e-13
SI	P106	HIPK2	8.085516715198464e-11
SIII	P107	HIPK2	0.2858904490830172
SI	P108	HIPK2	5.336158411586557e-06
SII	P109	HIPK2	0.00030399073225680334
SII	P110	HIPK2	0.5165627483427807
SI	P111	HIPK2	7.02275976755926e-08
SIII	P112	HIPK2	0.9590640249456472
SI	P113	HIPK2	2.7082097790209547e-07
SI	P114	HIPK2	1.8946962242783955e-09
