Subtype	Sample	Kinase	Activity
SI	P001	CDK12	1.821419487725313e-30
SII	P002	CDK12	8.80754537298045e-22
SI	P003	CDK12	1.6991651187675004e-07
SII	P004	CDK12	2.0235951242916897e-08
SII	P005	CDK12	5.304630301090221e-09
SI	P006	CDK12	4.856607527123697e-21
SII	P007	CDK12	2.5199458212536807e-19
SII	P008	CDK12	1.9462787435566645e-30
SII	P009	CDK12	0.0024966313047946544
SI	P010	CDK12	7.192519483941231e-09
SII	P011	CDK12	9.39225641533529e-08
SII	P012	CDK12	3.9440031685421015e-19
SI	P013	CDK12	2.19323801897959e-16
SI	P014	CDK12	1.192434342279013e-24
SI	P015	CDK12	1.9611996750857772e-15
SI	P016	CDK12	2.3567272224752627e-09
SI	P017	CDK12	3.6170454244902486e-10
SI	P018	CDK12	4.499002870385415e-09
SI	P019	CDK12	1.874586048653793e-11
SI	P020	CDK12	6.249968669672211e-20
SI	P021	CDK12	5.746903006893637e-15
SII	P022	CDK12	6.005787182335934e-16
SI	P023	CDK12	1.393533494709311e-13
SII	P025	CDK12	3.0724084173372154e-12
SI	P026	CDK12	3.231930086516489e-21
SII	P027	CDK12	6.925579229364028e-10
SII	P028	CDK12	1.5724240926938105e-12
SI	P029	CDK12	7.832896763588287e-06
SI	P030	CDK12	7.272621936028818e-20
SII	P031	CDK12	1.161554966187652e-09
SIII	P032	CDK12	0.0008074617676014919
SII	P033	CDK12	9.049521948700343e-13
SI	P034	CDK12	3.3951679867682134e-08
SIII	P035	CDK12	1.846713631958274e-05
SI	P036	CDK12	4.257904378504561e-26
SII	P037	CDK12	9.184055496574267e-09
SII	P038	CDK12	7.657669195077248e-05
SI	P039	CDK12	1.0449227649181418e-15
SI	P040	CDK12	1.3645792110440841e-12
SI	P041	CDK12	1.5969020029045431e-09
SII	P042	CDK12	1.7218279193703028e-10
SII	P043	CDK12	2.465010892599465e-25
SII	P044	CDK12	0.010057347105444387
SI	P046	CDK12	6.856408383357024e-18
SI	P047	CDK12	6.968466125912773e-08
SI	P048	CDK12	0.0017401044901881033
SI	P049	CDK12	3.284346913676748e-09
SI	P050	CDK12	9.017957438248773e-17
SII	P051	CDK12	4.787166573220193e-19
SIII	P052	CDK12	7.789942684926966e-05
SI	P053	CDK12	4.509673952843772e-12
SII	P054	CDK12	0.00010009948550860111
SII	P055	CDK12	8.354045651693012e-08
SI	P056	CDK12	2.4557043520938796e-17
SI	P057	CDK12	5.81240495407983e-08
SI	P058	CDK12	1.0522262534938896e-16
SI	P059	CDK12	8.812381301473844e-07
SI	P060	CDK12	5.137889939235135e-20
SII	P061	CDK12	8.870679694044032e-06
SI	P062	CDK12	1.655890670296452e-13
SI	P063	CDK12	9.048320351906967e-19
SI	P064	CDK12	1.577912108485575e-07
SI	P065	CDK12	5.359174772127649e-18
SI	P066	CDK12	2.3375029437200343e-13
SI	P067	CDK12	1.6858395103942317e-23
SI	P068	CDK12	2.434347745410785e-16
SI	P069	CDK12	2.2922821356574788e-19
SII	P070	CDK12	1.2748040119389897e-05
SII	P071	CDK12	7.180068825171769e-09
SIII	P072	CDK12	1.347152301536761e-05
SIII	P073	CDK12	0.00022965372652280735
SIII	P074	CDK12	0.020234031194550483
SIII	P075	CDK12	0.07891685029082958
SIII	P076	CDK12	2.4529527375030487e-06
SII	P077	CDK12	5.1779449736683745e-14
SII	P078	CDK12	1.9288261371396875e-07
SIII	P079	CDK12	1.0754324297183916e-14
SI	P080	CDK12	7.512589189100548e-12
SII	P081	CDK12	1.8747780782193634e-18
SI	P082	CDK12	2.766616608678743e-21
SIII	P083	CDK12	0.16270588524087626
SIII	P084	CDK12	0.15859309145455192
SIII	P085	CDK12	0.011031753771863653
SIII	P086	CDK12	0.9377926030091808
SI	P087	CDK12	9.36496251782487e-12
SII	P088	CDK12	0.023331701437485707
SIII	P089	CDK12	1.331322695851236e-06
SI	P090	CDK12	1.4662366490886328e-06
SIII	P091	CDK12	7.627100951212256e-09
SIII	P092	CDK12	0.26072685488651076
SIII	P093	CDK12	0.01443622634854495
SIII	P094	CDK12	0.0008562545874960671
SII	P095	CDK12	0.00014376581140382208
SI	P096	CDK12	2.8904704391678632e-12
SIII	P097	CDK12	1.1864735326710875e-12
SIII	P098	CDK12	4.011126296659072e-12
SII	P099	CDK12	0.006057183357420266
SIII	P100	CDK12	2.8338314398052805e-07
SIII	P101	CDK12	0.0008578282745246457
SI	P102	CDK12	1.2556206956595526e-15
SI	P104	CDK12	6.051810903607751e-19
SI	P105	CDK12	3.5916924500338835e-21
SI	P106	CDK12	8.706964171094928e-21
SIII	P107	CDK12	0.3861612361871243
SI	P108	CDK12	2.3250472896194166e-13
SII	P109	CDK12	7.560142026684494e-06
SII	P110	CDK12	0.0538558909651371
SI	P111	CDK12	8.83427116544414e-18
SIII	P112	CDK12	0.4640062803019652
SI	P113	CDK12	2.995433250735108e-22
SI	P114	CDK12	2.3407101371498126e-19
