Subtype	Sample	Kinase	Activity
SI	P001	CDK18	7.840134779708123e-29
SII	P002	CDK18	8.81089542104914e-17
SI	P003	CDK18	1.2856060368477253e-07
SII	P004	CDK18	9.818307979956293e-08
SII	P005	CDK18	1.8713372541304356e-05
SI	P006	CDK18	1.7209983644699866e-36
SII	P007	CDK18	6.455200998885865e-20
SII	P008	CDK18	1.833122835853186e-32
SII	P009	CDK18	0.00042339248679011665
SI	P010	CDK18	8.693483984626235e-07
SII	P011	CDK18	2.588083038389027e-07
SII	P012	CDK18	4.3402469003539475e-17
SI	P013	CDK18	5.000982694277747e-16
SI	P014	CDK18	1.6453992993768498e-31
SI	P015	CDK18	4.4705480378274295e-18
SI	P016	CDK18	4.103626712297185e-09
SI	P017	CDK18	7.299127733032566e-09
SI	P018	CDK18	2.6536294394770286e-13
SI	P019	CDK18	1.0330434084894329e-10
SI	P020	CDK18	7.851086047785555e-17
SI	P021	CDK18	7.878339077056318e-14
SII	P022	CDK18	5.262371565250521e-17
SI	P023	CDK18	5.0916195944205846e-14
SII	P025	CDK18	1.2555816694913122e-09
SI	P026	CDK18	5.211924524522302e-32
SII	P027	CDK18	3.768860392337294e-09
SII	P028	CDK18	3.2591585366054546e-12
SI	P029	CDK18	2.973621927673391e-13
SI	P030	CDK18	1.1600782901484554e-18
SII	P031	CDK18	1.087425132914435e-10
SIII	P032	CDK18	0.00021311826268146703
SII	P033	CDK18	9.081554373908582e-15
SI	P034	CDK18	2.6877381486991613e-16
SIII	P035	CDK18	4.779044360467174e-06
SI	P036	CDK18	1.2045347104060145e-33
SII	P037	CDK18	5.9450659441364425e-08
SII	P038	CDK18	2.4552970211935424e-05
SI	P039	CDK18	5.823325627847262e-19
SI	P040	CDK18	8.377760481066435e-24
SI	P041	CDK18	3.579634484785953e-11
SII	P042	CDK18	7.962064453232931e-09
SII	P043	CDK18	4.3837261570075535e-28
SII	P044	CDK18	2.2236835830731864e-12
SI	P046	CDK18	1.4384620057129763e-28
SI	P047	CDK18	5.374967786303629e-14
SI	P048	CDK18	7.564297354527004e-17
SI	P049	CDK18	2.375040410499059e-10
SI	P050	CDK18	4.940536624979683e-19
SII	P051	CDK18	3.911730579056525e-21
SIII	P052	CDK18	1.1465293499136217e-05
SI	P053	CDK18	4.50925996168582e-18
SII	P054	CDK18	0.0004912450557252724
SII	P055	CDK18	7.189696216829551e-06
SI	P056	CDK18	2.6136397663980473e-17
SI	P057	CDK18	8.909787478018663e-07
SI	P058	CDK18	2.818176033994722e-12
SI	P059	CDK18	9.717604283748047e-06
SI	P060	CDK18	2.9901550684248373e-31
SII	P061	CDK18	6.328191187612199e-06
SI	P062	CDK18	6.8546922860834336e-18
SI	P063	CDK18	6.636003352875464e-20
SI	P064	CDK18	2.752142172045292e-17
SI	P065	CDK18	2.518109337489393e-20
SI	P066	CDK18	2.1164068139661436e-24
SI	P067	CDK18	5.199494534376489e-26
SI	P068	CDK18	1.4847175316722584e-22
SI	P069	CDK18	1.450489798155778e-18
SII	P070	CDK18	0.00019897806326393998
SII	P071	CDK18	5.197206831507702e-08
SIII	P072	CDK18	0.05072919480962392
SIII	P073	CDK18	0.0005080260595560569
SIII	P074	CDK18	0.009195358960979587
SIII	P075	CDK18	0.19881559300039098
SIII	P076	CDK18	7.861154832129606e-07
SII	P077	CDK18	9.805138544862944e-10
SII	P078	CDK18	4.481571132015573e-06
SIII	P079	CDK18	1.0529393484998766e-12
SI	P080	CDK18	1.8494930267623847e-10
SII	P081	CDK18	3.0206633410751393e-30
SI	P082	CDK18	5.735745169521578e-25
SIII	P083	CDK18	0.001129646902998419
SIII	P084	CDK18	0.004054246804718717
SIII	P085	CDK18	0.0021924047919015433
SIII	P086	CDK18	0.8916918662427131
SI	P087	CDK18	1.9144173922283834e-16
SII	P088	CDK18	0.034005029348184765
SIII	P089	CDK18	1.0884256848126369e-17
SI	P090	CDK18	1.907777115223841e-07
SIII	P091	CDK18	3.0560351756541565e-08
SIII	P092	CDK18	0.2878968112480019
SIII	P093	CDK18	0.0075745252065764134
SIII	P094	CDK18	7.197425588111309e-05
SII	P095	CDK18	0.0007391080324504775
SI	P096	CDK18	3.2373778016390446e-19
SIII	P097	CDK18	8.735358077404466e-16
SIII	P098	CDK18	2.6606019586681422e-27
SII	P099	CDK18	0.04596343830118886
SIII	P100	CDK18	8.856933573539535e-10
SIII	P101	CDK18	1.8169919413353697e-07
SI	P102	CDK18	5.191796531616869e-20
SI	P104	CDK18	3.2900308343006315e-23
SI	P105	CDK18	9.560656201527407e-24
SI	P106	CDK18	7.936618730990508e-30
SIII	P107	CDK18	0.007222406089200207
SI	P108	CDK18	3.095693058745557e-14
SII	P109	CDK18	2.7505781427409683e-05
SII	P110	CDK18	0.005828272311474047
SI	P111	CDK18	4.1272022213964315e-25
SIII	P112	CDK18	0.3375365834596652
SI	P113	CDK18	1.6558740132429997e-17
SI	P114	CDK18	5.020757369159333e-28
