Subtype	Sample	Kinase	Activity
SI	P001	CDKL5	1.7195673070923244e-22
SII	P002	CDKL5	3.6214624524577775e-13
SI	P003	CDKL5	0.43430200936953534
SII	P004	CDKL5	7.568257027202208e-08
SII	P005	CDKL5	0.0023313339556276288
SI	P006	CDKL5	4.1503832599103224e-18
SII	P007	CDKL5	2.158533618053672e-17
SII	P008	CDKL5	1.4251455159514166e-12
SII	P009	CDKL5	0.016094746283772072
SI	P010	CDKL5	3.1281156476188155e-06
SII	P011	CDKL5	0.0006065140783543542
SII	P012	CDKL5	1.3685836078928802e-09
SI	P013	CDKL5	8.960964660057779e-10
SI	P014	CDKL5	9.698227886826059e-20
SI	P015	CDKL5	3.821742014454452e-13
SI	P016	CDKL5	0.00014340220286259678
SI	P017	CDKL5	3.135885756165774e-05
SI	P018	CDKL5	1.1878260096927411e-07
SI	P019	CDKL5	1.276165451161848e-07
SI	P020	CDKL5	1.2849480563624635e-05
SI	P021	CDKL5	2.4464799068420153e-07
SII	P022	CDKL5	0.0007408605543578043
SI	P023	CDKL5	1.8670148507863853e-09
SII	P025	CDKL5	6.559235924041963e-07
SI	P026	CDKL5	4.0936797198723484e-16
SII	P027	CDKL5	0.003505062966656893
SII	P028	CDKL5	5.6613414051026295e-05
SI	P029	CDKL5	2.385263270361903e-05
SI	P030	CDKL5	3.9111844863252936e-16
SII	P031	CDKL5	2.5734659514462047e-11
SIII	P032	CDKL5	0.0015304976182422042
SII	P033	CDKL5	2.930584488935347e-11
SI	P034	CDKL5	2.603563647688831e-07
SIII	P035	CDKL5	0.0003552481093601265
SI	P036	CDKL5	2.0145966554943572e-19
SII	P037	CDKL5	0.020059931447538086
SII	P038	CDKL5	0.00015516045526561297
SI	P039	CDKL5	6.0092446358708755e-24
SI	P040	CDKL5	5.132901578249193e-06
SI	P041	CDKL5	1.7434326493184343e-09
SII	P042	CDKL5	6.368788148132915e-11
SII	P043	CDKL5	2.7487464094632435e-26
SII	P044	CDKL5	0.006534773201714946
SI	P046	CDKL5	6.223047976050208e-13
SI	P047	CDKL5	1.523150585114883e-08
SI	P048	CDKL5	3.692958685514026e-07
SI	P049	CDKL5	3.525432445588443e-08
SI	P050	CDKL5	1.9804457441821954e-08
SII	P051	CDKL5	2.698535236483845e-10
SIII	P052	CDKL5	0.017174183408772865
SI	P053	CDKL5	8.411259312346227e-10
SII	P054	CDKL5	0.013178551537329936
SII	P055	CDKL5	0.0008786969197551301
SI	P056	CDKL5	1.3097392795862622e-13
SI	P057	CDKL5	2.9704999361930854e-06
SI	P058	CDKL5	1.8996488606429088e-10
SI	P059	CDKL5	0.01368373322654444
SI	P060	CDKL5	2.317097020497191e-20
SII	P061	CDKL5	0.00013278654480153933
SI	P062	CDKL5	3.3276787443901204e-07
SI	P063	CDKL5	5.558594616865259e-11
SI	P064	CDKL5	1.0979339238350826e-18
SI	P065	CDKL5	7.204966082066758e-10
SI	P066	CDKL5	1.330168799130309e-06
SI	P067	CDKL5	8.868554477767902e-15
SI	P068	CDKL5	1.141368611289259e-05
SI	P069	CDKL5	5.259824501622874e-08
SII	P070	CDKL5	0.4165236643072294
SII	P071	CDKL5	1.5530869848267466e-09
SIII	P072	CDKL5	2.37705664678071e-05
SIII	P073	CDKL5	4.528578981319929e-05
SIII	P074	CDKL5	0.0016502520951031541
SIII	P075	CDKL5	0.08090481275470879
SIII	P076	CDKL5	2.365617298471764e-06
SII	P077	CDKL5	6.480362285310763e-06
SII	P078	CDKL5	1.6642855689625847e-10
SIII	P079	CDKL5	4.3192465223099325e-10
SI	P080	CDKL5	2.0673954263098502e-12
SII	P081	CDKL5	1.3373182796491214e-10
SI	P082	CDKL5	1.566243772455659e-17
SIII	P083	CDKL5	0.005619941576583582
SIII	P084	CDKL5	0.0005227527385407805
SIII	P085	CDKL5	0.13440779628410532
SIII	P086	CDKL5	0.6215219008897899
SI	P087	CDKL5	2.2255523658867155e-07
SII	P088	CDKL5	0.44613272239717605
SIII	P089	CDKL5	1.848218993882691e-14
SI	P090	CDKL5	0.0009309736935125137
SIII	P091	CDKL5	1.3189169401725557e-07
SIII	P092	CDKL5	0.26736333209883245
SIII	P093	CDKL5	0.1715981853797816
SIII	P094	CDKL5	0.08490036152562595
SII	P095	CDKL5	0.23123988590630856
SI	P096	CDKL5	5.903555640042425e-05
SIII	P097	CDKL5	1.2142436326713662e-07
SIII	P098	CDKL5	5.480568953592033e-13
SII	P099	CDKL5	0.18432533869541912
SIII	P100	CDKL5	0.00013444270587492326
SIII	P101	CDKL5	0.0006277055515439907
SI	P102	CDKL5	2.927959185162569e-06
SI	P104	CDKL5	1.8433878221442985e-12
SI	P105	CDKL5	1.1787301081957392e-14
SI	P106	CDKL5	9.324016326908072e-15
SIII	P107	CDKL5	0.0437056259634294
SI	P108	CDKL5	6.72888258877207e-11
SII	P109	CDKL5	0.008087976629474391
SII	P110	CDKL5	0.1468513962394188
SI	P111	CDKL5	1.5304848126938137e-11
SIII	P112	CDKL5	0.046981684649674844
SI	P113	CDKL5	3.483471956149969e-10
SI	P114	CDKL5	1.5523251200791841e-22
