	cancer~0	cancer~1	cancer~2	cancer~3	cancer~4	cancer~5	cancer~6	cancer~7	cancer~8	immune~0	immune~1	immune~2	immune~3	immune~4	immune~5	immune~6	immune~7	others~0	others~1	others~10	others~11	others~2	others~3	others~4	others~5	others~6	others~7	others~8	others~9
Q8NFW8	14.60421717	8.31698327	13.83659672	9.705925187	9.509013104	6.819831817000001	6.3678145729999995	9.908135377	1.8557749140000002	2.212103768	2.621790728	1.7416850169999998	4.023736392	3.127539348	2.451267626	0.942251078	1.5114534259999999	13.54424461	12.931283	4.554850749	2.9356878510000004	12.57515297	12.87566213	3.444542297	4.831764348	3.6644696039999998	3.6682962580000003	2.507345765	1.560909655
P54725	8.445553759	5.710425861	8.072376157999999	4.399632111	6.672725497999999	4.265411217	4.25130355	4.34447082	3.046481092	1.550583311	1.6371451869999998	2.130109091	1.894270048	1.530160926	0.9380167429999999	0.762005003	1.220556983	5.351467427	1.003890357	1.746681792	1.005224084	2.098084468	6.426778004	1.321272616	3.6840327489999996	0.879356847	1.324303941	1.811189419	1.098133368
Q9BSJ2	4.123434142	1.900399675	3.02067041	2.608239437	1.326163622	1.514599997	2.328722994	1.966495968	0.945659622	0.7771811409999999	0.722772471	1.170373574	0.68587059	1.315663235	0.475829206	0.704013186	0.8457599179999999	0.632508946	1.078824414	0.387499185	0.123892197	0.250944288	0.862345371	0.48829246299999995	1.639585967	0.39651960299999994	0.320365807	1.873728801	0.9860173809999999
P46379	14.15587582	8.584646167	10.60132772	8.763150445	11.42134658	6.609702536	7.680249031000001	7.841190888	2.647048916	2.235984586	2.257311208	0.9950543540000001	1.66238158	2.6409796009999997	2.15285286	1.917131862	0.794694758	11.11681034	4.580925187	3.237821367	2.198085324	6.988239897000001	10.05646797	2.676627005	4.471905008	3.1776440580000003	3.305519622	3.547018655	1.67013896
P13473	72.42323819	58.96169465	71.23404678	65.40538741	65.61114072	40.69773443	42.76691368	56.76514736	13.1638024	13.01434382	12.29078097	8.109891726	15.90438949	20.60334685	10.29716576	1.227870273	5.747835928	60.208909	54.96337495	23.87049549	8.613341643	41.00296963	67.38425135	14.98963243	30.22382516	23.75553673	23.43654772	18.47431158	28.63276794
P16422	20.524795	14.9418995	18.78338976	16.51598613	13.28286123	17.64818007	11.93307969	8.529561176	3.035746319	4.076339041000001	4.200363555	2.738479217	4.117770627	3.814384387	4.145170402	1.1119785420000001	2.193759269	15.76499617	13.92051497	4.467582032	2.685396835	11.06250603	13.46461393	5.124383443999999	7.991885595	4.417555125	4.455529663	3.860326745	5.163621704
Q9NQ75	5.287131947	3.733793519	4.350599187	4.001338886	3.961906631	2.629287996	2.8284117330000003	2.8209815739999997	1.058911033	0.540632821	0.987826157	0.8428655140000001	1.83696485	1.174752572	0.779305795	0.638205088	0.7840900129999999	3.0119295239999997	1.1032951979999999	0.774700174	0.7836948109999999	1.496288574	3.902922048	1.674283821	2.000365446	1.1491118	1.288644499	1.51389123	0.76907001
Q86TM6	7.2180403029999995	2.9122988189999997	6.117596231	2.845692193	4.192376957	3.0138509410000003	3.525748215	4.229651361	0.661079491	2.041206826	1.06531603	1.219679648	2.647867116	0.504097496	1.59130491	2.59016265	0.8363964490000001	4.117841866	3.245361193	1.8706624509999998	0.933503526	3.1299227010000004	6.430465686000001	1.920401738	1.350376279	2.091635578	2.638578448	1.137181533	0.38081007200000005
P09238	6.169668913	4.0793243530000005	4.71683733	5.534992482000001	4.964865486	1.6277583580000001	2.841833433	4.927481913	1.237918797	1.248092746	0.8834304590000001	0.862741839	0.882205935	1.906929645	0.915738678	0.913079594	0.434162205	4.1477137630000005	3.896302272	2.27565008	1.222330255	2.136289737	2.9157235160000003	1.862415601	1.944597743	1.595281688	1.4004619669999998	1.647651081	1.7402169490000001
P36406	14.20658562	8.268778884	13.33823162	10.50829989	11.6698009	7.81583986	8.087769062000001	6.635933141000001	2.930479858	3.1708568880000003	2.8542735280000002	2.062150595	2.640890478	3.905545122	1.967225999	3.038616505	1.704406343	11.58039483	7.774450364	2.73032733	2.144807248	8.795428925	11.09501041	2.9747280189999996	6.749007232	3.2547910910000004	3.6508816410000002	4.092562283	2.265260885
Q9H7N4	0.9996838	0.058472205	0.9853705079999999	0.19054595800000002	0.693795396	0.295735012	0.660687963	0.123892961	0.995196413	0.401219879	0.513929745	0.05395237	0.817268854	0.282984625	0.748184031	0.873974998	0.21991886300000002	0.14300921800000002	0.9193819740000001	0.523013198	0.561873227	0.634196102	0.554729968	0.5563604879999999	0.7481408740000001	0.102255279	0.203969753	0.37786533299999997	0.570918124
Q9NQW6	1.00872428	0.356145813	0.37944472799999995	0.968559416	0.5162938739999999	0.15264129	0.07439111400000001	0.611085282	0.773392065	0.490277632	0.52379283	0.276293935	0.543320444	0.172991735	0.035100217	0.411035359	0.09596044599999999	0.652773956	0.42538316	0.23985327	0.381469967	0.419138864	0.88276449	0.978472812	0.573465346	0.88305978	0.9660010379999999	0.89383806	0.387869584
P05067	3.4470673919999997	3.3360147039999997	2.5286285040000003	2.590645102	2.820042001	2.381270471	2.07004413	2.334871498	1.0468621409999999	1.127168935	1.4596150780000001	0.63579201	0.759532365	1.010668093	0.748304733	0.579037441	0.501002693	2.368126224	1.511925299	0.7052042390000001	1.013989252	1.517453784	2.141165963	1.4254863009999998	1.013485357	1.527187338	0.972440704	0.38590746	0.232999399
Q53S08	4.232257419	3.205052237	2.496248768	3.3664350130000003	2.573161443	1.880599484	2.346695923	2.167209955	0.7457393959999999	1.268721776	1.283909454	0.426040962	1.013032379	1.6379637480000002	0.620919045	0.5404694729999999	0.80964874	2.453408401	0.762832484	0.9595303709999999	0.983403858	1.730908519	1.817768975	1.637186835	1.982410376	1.4420377819999999	0.683362252	1.092020027	0.708246995
O00425	3.76739552	1.2045563479999999	2.370934976	1.920759881	1.673548326	1.582812272	1.345268722	1.762640489	0.7187229390000001	0.8897647040000001	1.171971753	1.144960991	1.3871488419999998	0.49293992299999995	0.767096895	2.4828395469999998	0.591859548	1.388415432	0.689281508	0.839135485	0.402204571	0.6571121529999999	1.662533083	0.984195541	1.14963153	0.6909520159999999	0.731548382	0.993864373	0.292105443
Q9NZI8	3.433516793	1.8031802280000002	0.753687488	1.56847272	1.7674226819999999	0.834023251	1.542099643	0.553528969	0.649229176	1.056998663	1.2623056540000002	0.545217838	0.352834825	0.861039525	1.150239545	0.549074218	0.518869194	1.4098754830000002	1.07939118	0.564388174	1.05871455	0.94621182	1.627179861	0.556698206	1.106968964	0.98786731	0.286148542	1.193643153	0.648267348
Q02083	1.10425699	0.745962437	0.12418541400000001	0.7569475259999999	0.614632657	0.9507754690000001	0.46753429700000004	0.525291871	0.8014494240000001	0.402058721	0.866030546	0.960597322	0.9819124140000001	0.7807119490000001	0.393825879	1.09101965	0.892211436	0.366669285	0.689495698	1.048735845	0.5599551660000001	0.10452538	0.036720611	0.27810724	0.29191645	0.638239718	0.908067828	0.253480043	0.513202655
Q9NSB4	129.9800304	1056.1688470000001	0.0	117.4850219	0.873811763	0.0	70.21002512	0.0	0.634314904	17.76711971	30.77115797	18.77204894	14.59572993	0.0	20.28276487	0.42141605600000004	0.88128451	115.5593044	12.29613908	32.41419773	28.21595664	11.74994822	111.22399070000002	40.94817617	31.88732116	16.2748253	14.32495407	0.0	5.109696946000001
Q15323	294.26127610000003	1425.535738	0.0	248.205515	4.501627356	0.0	138.81167480000002	0.0	9.560353707	36.64390387	62.86940651	29.66038581	34.25430192	0.0	34.43920502	0.616365025	0.0	287.6169268	60.47224948	73.26780106	71.943169	28.19931176	229.1093934	104.01730529999999	77.66896732	32.21887903	30.14896192	0.6976534609999999	18.4158157
P26439	258.415135	517.9555577	0.45241624	257.81312230000003	0.10208191800000001	0.91598341	259.2272916	0.0	0.34400321700000003	0.5483169210000001	65.41594746	97.22420495	0.328335064	0.0	97.53996776	0.950979088	0.378134565	194.9700965	0.20225702199999998	64.77784815	0.26844302600000003	32.96057872	453.54770139999994	0.6877366140000001	65.52503560000001	32.19955212	32.69281044	0.610394247	0.786497955
Q05C16	111.3071373	224.0595628	4.0138580610000005	113.5472101	2.124990087	0.0	117.9066728	0.0	0.0	0.382900446	26.68193625	44.22870314	0.429642113	0.276116438	44.37823171	0.477701599	0.25814701100000004	83.57887638	2.626981857	30.57105657	0.0	13.10993009	200.9174481	0.0	28.08764167	15.87817865	15.35107288	3.14854609	0.527342324
Q9UJL9	39.66409779	77.16640417	0.6268917079999999	39.36529793	0.638632615	0.221093433	38.73954133	1.100581126	0.44613564899999997	0.9968083640000001	9.968465807000001	14.65883178	0.36653023700000004	1.069627811	14.71748641	1.153150317	0.511519241	28.75224404	0.554611714	10.52782784	0.827314876	4.840781618	67.44830577	0.166906002	10.57804588	5.5084365260000006	5.388276943999999	0.557654867	0.539978663
O43914	184.53622280000002	347.25003219999996	15.65686537	170.85035219999997	8.347358662000001	0.640337218	175.4743284	27.40288787	5.796509324	3.69520748	44.76905961	70.38036226	6.7428165689999995	3.5672096339999997	69.7458718	0.720929424	2.059143281	135.3403243	1.320255862	47.83102133	0.0	20.05479397	322.0180966	0.0	51.17286481	25.11942114	24.63133833	3.8269539389999996	2.084896626
Q3LI72	121.12863200000001	180.7017795	0.63072766	120.253277	0.575851644	0.40348677200000005	60.93404465	0.923280054	0.309459239	15.83473966	30.13083087	15.8918038	15.81684281	0.9882619140000001	15.93038944	0.952927865	0.779028277	120.99609679999999	0.388959061	30.93791659	30.55628859	15.25226118	90.89258187	45.36845201	30.83583261	15.77337612	15.81455589	0.714506132	0.491363449
P33764	67.23580192	100.1521317	0.240805651	66.58621624	0.7600149079999999	0.766149214	33.55229123	0.7862170620000001	0.878636469	8.472878676	16.92814228	8.923736085	9.164489439	0.147572431	9.25417795	0.9878456879999999	0.065116811	66.59646853	0.740567249	17.03607309	16.82526621	9.262074855	50.36485641	25.61886119	17.08151802	9.033207491	8.806961728	0.276777626	0.421372281
Q3LI83	50.16445022	75.66055433	2.94164592	49.659651399999994	2.034652013	1.4715133580000002	25.65809017	1.307964671	0.756502241	7.356376324	12.97926554	6.720387477	6.900957192999999	0.30459900300000003	6.239109555	0.37109499	0.749229855	50.91217164	0.228369779	13.00770923	12.59433069	6.656318743	38.32134261	18.71356202	13.42502225	6.804663371	6.611739142	0.984583256	0.363136994
Q2NL67	7.542043361	14.03196949	0.489623782	6.892791086	0.791645068	0.566214982	7.149273298	0.875308387	0.754817338	0.59225996	1.889562793	2.567501156	0.680817137	0.20683271	2.50111873	1.172207418	0.21785519899999997	5.830387257999999	0.452453731	1.800680553	0.763934592	1.0984342390000001	12.0940399	0.378564036	1.751391013	1.52559725	1.647718305	0.236061007	0.94060289
P0DPA2	209.3981035	305.24868010000006	46.030701799999996	181.0550879	12.04744877	0.0	115.6903835	49.76894217	1.710081559	35.75995056	50.55948661	32.80075716	39.06781877	1.440037135	33.06475421	0.73267397	4.695249158999999	196.27424530000002	0.0	47.83567883	50.46867672	13.27575792	156.74724799999998	72.06934741	56.16111674	23.96848873	21.17044087	5.361738015	4.672024461
A1A5D9	79.43197526	117.01692460000001	1.746642424	75.59565214	0.0	0.0	38.40674152	0.603970706	0.0	9.53418588	19.83817866	9.870515311	10.44616187	0.0	10.34005482	3.2020019339999997	0.7517923479999999	81.35404159	51.64426024	20.6497038	20.99723554	19.706356200000002	59.78867376	31.78452594	22.20335714	12.81000698	10.23376597	1.5076132309999999	24.56890371
Q14532	126.6635876	197.6514841	3.822266042	122.73714960000001	8.231453061	2.9560628189999996	69.81331782	2.029011695	0.0	17.77579994	32.87957629	15.57520763	19.5106545	1.76772923	16.60239152	0.9879642609999999	0.790028244	142.0712263	49.20787873	37.10517275	35.40303823	40.71120456	110.20126709999998	53.22361083	36.50082287	26.19158895	23.161292	0.755663995	10.94914784
Q86SJ6	53.48993797	82.36240242	3.6988837180000003	55.79523235	1.7323964059999999	1.5276583940000001	32.82555962	0.0	0.08583073199999999	7.090955332	13.68028632	7.177726664	7.134827339	0.24093497100000003	8.476035677999999	1.21337948	0.12396080300000001	55.43185697	16.40910455	15.98720081	13.71890454	13.12845699	41.43901796	20.57937428	14.14555336	10.09703359	9.066197532999999	4.8897786839999995	4.645130956
Q86SG7	16.67311582	23.66889909	2.7083205789999996	15.66613502	2.523913283	1.061114176	8.111213728	2.260665715	1.0656711890000001	2.3582048540000002	4.183380654	2.542434992	3.116908375	0.178186211	2.5283525559999998	0.398705101	0.16608061699999999	16.82304059	1.16377579	4.609948639	4.393250496	2.5993867230000003	12.314084699999999	6.1336884210000004	5.070768613	2.874754792	2.82343982	0.41447159200000006	0.6619340420000001
Q9BW60	12.14666712	28.1878308	6.871972081	4.803799595	3.25776693	3.6106062160000003	8.460057537	4.628226777	1.65096412	2.312259299	0.8592321540000001	1.4775214209999998	1.138760432	2.9534613939999996	0.599681548	0.365301639	1.37547732	2.100477218	2.002075381	4.983257051	1.3704763290000002	0.46158849399999996	1.662324319	0.386215634	5.189458746000001	4.781064091	4.388474607	3.4405796289999997	1.758522214
Q3ZCW2	114.77389109999999	175.9632674	18.06098674	109.1413878	21.53403395	1.940600211	57.62359545	19.88197233	2.920069612	15.11829312	26.72390162	13.66446028	14.96007553	1.0730965590000001	15.48581433	1.1268874759999998	0.074946517	160.34349730000002	150.73642969999997	50.93539393	44.42959563	107.25616240000001	100.1810381	62.81619594	29.93980304	30.83507672	40.77181834	7.141397706	29.82152826
Q8TF66	97.40804122	125.2582315	15.8533049	89.83498929	14.12678699	19.96402481	43.84035808	4.8213591860000005	0.710407835	11.65106303	21.38753411	13.02047628	13.77038879	1.448318878	16.29714784	0.957529344	1.124248555	94.43543164	23.544838600000002	26.13325475	21.26364737	18.99571026	76.01963997	33.69881538	26.47544599	18.76767471	16.58379258	2.513574614	15.06439506
P34931	14.05446083	23.85367739	10.31728571	11.91635259	12.00637618	3.270517467	12.331769099999999	7.40352105	2.75214812	1.4020963690000001	3.1844024230000003	4.635877485	1.4349608790000001	1.8773941180000002	4.552584816	0.157533491	0.507938549	11.5218963	3.7140170410000004	3.324554651	0.399678042	3.167060626	23.39889082	0.758744674	4.699974753	2.8833006460000004	2.060374484	1.968260671	0.971284347
O43633	87.03750774	169.4651943	39.98545528	92.87253175	30.60398327	24.31017554	82.60239108	20.42318339	2.564889971	12.18969812	25.71251988	31.53866992	8.138241138	9.753706875	33.6652717	1.160717814	5.9942321	95.58248289	46.397043	25.70419303	6.132651475	44.66538095	137.9296417	10.53959716	34.10532413	21.07566295	20.74442232	8.89380254	4.732265446
P61289	408.54329889999997	600.4315188999999	228.8386819	348.1513169	183.9420144	117.62138909999999	309.4640022	123.61079850000002	39.24722204	34.49328777	93.17073439	112.80287299999999	52.57506372	34.34285898	117.19687169999999	0.763731788	17.87456245	286.9178158	124.3165372	109.32806570000001	17.86960409	80.12839514	538.7178754	41.24305123	134.4139899	79.69786061	68.94397052	44.28891399	48.89818241
P51808	5.610413267	7.4490264999999996	0.006600111	4.855537422	0.990544199	0.826106001	2.7482751380000003	0.405636182	0.636893156	1.429624271	1.98227166	0.88363525	0.677534582	0.09424192699999999	0.944974636	0.989958386	0.17147694600000002	5.207880035	0.761600498	2.065874282	1.7144571169999998	1.214766735	3.781795013	2.492950935	1.326893922	0.80142169	1.05047059	0.461531486	0.716553405
Q92764	41.9360468	52.45770688	16.25816467	41.99747508	10.59881475	10.69961257	20.78495226	9.558483212	3.7424624339999997	6.2493531120000005	10.51282012	4.763583334	10.27531599	2.199956324	6.465055221	0.40351855200000003	1.4274687819999998	40.73411617	4.049129272	10.81354903	10.07054524	9.537336026	31.49885628	14.70813901	11.66502117	6.839291447000001	7.49354149	1.812778211	1.248448982
Q9P0S9	1.474918305	11.12062376	2.07670873	1.632583626	0.36789518	1.7934618359999999	2.8221353989999995	0.32500841199999997	0.999289063	0.862476107	0.872532799	0.165121094	1.430869322	0.995185504	1.40847149	1.158608742	0.8016806459999999	4.826077654	8.41281747	1.505923629	1.366388912	5.047052413	1.359882725	1.280977097	0.950791719	2.313021734	2.32186801	1.477542991	5.683910145
