P015	1.0,5.984109e-09,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.758138e-15
P016	1.0,3.8654298e-09,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5035336e-14
P022	1.0,5.2085146e-16,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.950709e-26
P029	1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
P035	1.0,1.5962465e-23,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.211361e-37
P036	1.0,1.6997398e-12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.6102252e-18
P102	1.0,7.803736e-17,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2383502e-25
P058	1.0,2.7954895e-08,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.3364743e-12
P065	1.0,8.879663e-11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.6367897e-15
P108	1.0,8.174155e-33,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
P104	1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
P107	1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.845826e-07
P019	1.0,3.812635e-06,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4664271e-09
P025	0.6917809,0.7050452,0.8619373,0.41087893,0.21249747,0.41151226,0.56970125,0.55394924,0.45169312,0.88580775
P054	1.0,1.50256e-13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7814288e-22
P099	1.0,2.1280948e-28,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
P074	1.0,5.0178044e-09,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.2833369e-12
P095	1.0,5.7825368e-08,1.0,1.0,1.0,1.0,0.0,1.0,0.99999964,2.7524392e-11
P051	0.62028676,0.99416983,0.98348963,0.9773588,0.53491,0.37378496,0.5574057,0.9858867,0.9460857,0.9932706
P100	1.0,5.0538365e-30,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
P045	1.0,4.739382e-14,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0915824e-22
P103	1.0,5.865583e-19,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.7509785e-28
P076	1.0,1.01620184e-10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.9960948e-15
