P006	0.5304638,0.49780023,0.44649622,0.49943972,0.48837522,0.46536636,0.5857773,0.43331295,0.4346189,0.41161042
P008	0.46400112,0.5323885,0.42420128,0.4360531,0.42723528,0.47772112,0.60299724,0.46691996,0.4364323,0.4952227
P010	0.4621718,0.3853602,0.35573584,0.2593978,0.4716511,0.6201289,0.5412634,0.25304598,0.32844353,0.58055973
P015	0.41504428,0.4384292,0.6614887,0.6854265,0.48557508,0.4646808,0.544022,0.37506118,0.42296496,0.33775556
P096	0.514641,0.28432757,0.4542281,0.49787286,0.31865355,0.5796544,0.6492429,0.45223343,0.3830133,0.36067528
P018	0.53127337,0.34970725,0.43138888,0.43465972,0.4408685,0.46074048,0.463167,0.35335726,0.34984887,0.42159912
P019	0.5479785,0.45843926,0.4412609,0.4661872,0.45898047,0.54609287,0.53732795,0.48718995,0.4221479,0.46864185
P021	0.44122076,0.3107629,0.5936729,0.6611946,0.49320394,0.59089565,0.36811107,0.3403418,0.39913514,0.45149854
P022	0.46202278,0.33214507,0.6158473,0.6512921,0.5171108,0.57629865,0.40264392,0.3390834,0.3990378,0.43687457
P026	0.5761576,0.41081426,0.43273312,0.5200523,0.44896436,0.57972693,0.5348031,0.46853477,0.39213055,0.4297343
P029	0.4998818,0.36340368,0.47794443,0.43978125,0.41511142,0.45651028,0.47405025,0.38283944,0.3892093,0.42327762
P034	0.4784184,0.37483042,0.50330174,0.45447403,0.44102377,0.45698556,0.5321811,0.39293242,0.43518242,0.4188905
P036	0.5296362,0.3661807,0.52519155,0.56020933,0.48889363,0.5519411,0.5250182,0.464802,0.45717,0.3928988
P038	0.5643427,0.32256973,0.43728298,0.5049897,0.46446142,0.54253775,0.43873286,0.3647436,0.3313271,0.4144715
P040	0.54209036,0.4015184,0.45312095,0.5106527,0.49557686,0.50198793,0.5099652,0.43087518,0.405343,0.45632613
P042	0.44736183,0.44291085,0.70917517,0.6823223,0.49016538,0.4778194,0.5046519,0.42087704,0.5202558,0.2810774
P100	0.47278887,0.5868664,0.6573533,0.6255338,0.5979143,0.4423037,0.6165363,0.35065478,0.4084529,0.34698218
P043	0.40722644,0.46770152,0.7472606,0.5939057,0.4963064,0.41076058,0.48627904,0.34846303,0.62526226,0.24465299
P044	0.39294145,0.47127515,0.3976341,0.20454735,0.519154,0.4952543,0.47832313,0.23664507,0.37259883,0.6053901
P046	0.5385195,0.4623325,0.5873119,0.5866686,0.56307393,0.49732333,0.577283,0.4054085,0.40460438,0.3412677
P047	0.54798,0.3747444,0.42623174,0.4591295,0.4894759,0.46153373,0.4818493,0.38145506,0.38708782,0.44447857
P048	0.5310611,0.42016,0.51772547,0.4571825,0.5498904,0.5007932,0.46078756,0.361204,0.45367816,0.4151628
P050	0.55712736,0.44043082,0.56608343,0.49105063,0.60132265,0.48579875,0.5801455,0.33259207,0.29797348,0.36703977
P102	0.50519323,0.42936093,0.5403297,0.5685103,0.49392894,0.5162945,0.53555995,0.47020352,0.44585183,0.42970335
P053	0.47847122,0.46846464,0.6486904,0.6127121,0.49398285,0.45773914,0.56127274,0.43212068,0.42909715,0.3451106
P060	0.56128854,0.30705637,0.50538397,0.42466083,0.32514235,0.53150725,0.5324604,0.43407768,0.3040438,0.32533005
P062	0.44739395,0.39702326,0.6432485,0.66960853,0.54805964,0.55913407,0.5416018,0.37128243,0.47642756,0.38235015
P063	0.4733269,0.5205383,0.69477904,0.6699813,0.5675049,0.5169245,0.57888806,0.41931012,0.5103349,0.3288523
P065	0.49337307,0.47611985,0.6579196,0.6455016,0.48829937,0.54301065,0.5710777,0.45376554,0.5348429,0.347536
P106	0.5244066,0.43182883,0.47309172,0.54225975,0.49406758,0.489265,0.5280341,0.4645553,0.4241379,0.42867947
P066	0.48947316,0.3548208,0.47745416,0.4013604,0.42216048,0.41391304,0.4512775,0.3547095,0.38485366,0.4262478
P067	0.46564543,0.397682,0.5708948,0.470905,0.46638423,0.41630262,0.4657056,0.37977964,0.44676125,0.37909922
P068	0.5569028,0.35336804,0.4792725,0.5195307,0.47908947,0.48752227,0.4987998,0.374257,0.40116522,0.38831583
P108	0.40954703,0.41752982,0.57654625,0.51638013,0.54181916,0.46195772,0.45915645,0.37455916,0.512555,0.43220824
P069	0.49623707,0.5739889,0.48913977,0.43323845,0.4225827,0.5686095,0.6536028,0.42525652,0.46934628,0.4566772
P004	0.40542865,0.50797504,0.32559288,0.24043936,0.3782062,0.5720879,0.64299285,0.35726357,0.38291126,0.61555487
P113	0.45193028,0.5885097,0.66365826,0.6285276,0.66356957,0.5779879,0.622545,0.36261523,0.3998488,0.43780202
P082	0.43203217,0.7306497,0.41317877,0.49671638,0.5458153,0.74768233,0.7853608,0.40006268,0.39227098,0.6212321
P087	0.42071748,0.40548998,0.33700868,0.20670864,0.4797096,0.5610627,0.5472452,0.18071708,0.34143388,0.62610465
P056	0.39567447,0.44936544,0.8767682,0.85473406,0.69131476,0.40488136,0.54733217,0.19297731,0.42199883,0.17713627
P104	0.43266955,0.6223507,0.6755788,0.6410729,0.63427734,0.5156689,0.64061916,0.36264828,0.44301534,0.4270966
P001	0.49010125,0.60869,0.6693734,0.57821304,0.6441376,0.5037361,0.58231634,0.36252597,0.4905382,0.32471567
P002	0.4255678,0.7338717,0.5295344,0.5021939,0.69352806,0.82624173,0.7598168,0.30765516,0.3143962,0.62980455
P003	0.5314604,0.24383742,0.41469163,0.51964635,0.45900005,0.5543842,0.443164,0.3191653,0.34032017,0.44073078
P007	0.59500915,0.42434105,0.4750424,0.53558856,0.5271168,0.5955279,0.5541076,0.49462312,0.3537014,0.41760916
P095	0.37706754,0.4519174,0.6338727,0.45599082,0.52593243,0.41698688,0.44222826,0.30064946,0.58724594,0.42151314
P009	0.50340796,0.5342386,0.4560457,0.49311072,0.5249326,0.7821978,0.54880273,0.48347095,0.41561136,0.5525152
P011	0.46927053,0.74624425,0.48792464,0.43109927,0.5917809,0.87150437,0.7474618,0.44629115,0.42356423,0.54420245
P012	0.52729315,0.5200331,0.798688,0.7217437,0.6254397,0.5940853,0.67650056,0.3837857,0.45180598,0.21500719
P013	0.37669545,0.2290034,0.70622873,0.6771573,0.41857126,0.6306051,0.7215371,0.2188609,0.4615597,0.31732616
P014	0.39898852,0.525974,0.7348666,0.7103668,0.58042055,0.5014721,0.5940702,0.34276253,0.41610008,0.36770588
P097	0.41765717,0.48036513,0.63090193,0.6056934,0.53306794,0.51047415,0.5722142,0.35860986,0.48901013,0.42458367
P016	0.3347615,0.73554575,0.49458197,0.4473804,0.5595046,0.7489094,0.6359745,0.33178285,0.42689148,0.688372
P017	0.47476584,0.46626788,0.57343686,0.5811196,0.52773005,0.57067096,0.5283072,0.44819337,0.49900523,0.4669334
P023	0.42394438,0.48999676,0.7179339,0.7498207,0.5854719,0.46823665,0.5125024,0.3564794,0.4840471,0.3873605
P025	0.47435024,0.35052687,0.50734186,0.5035407,0.57667273,0.8578012,0.48082933,0.27846253,0.27458447,0.55211425
P027	0.54067665,0.3447014,0.3404626,0.26587743,0.45460376,0.5703326,0.61595094,0.1918135,0.243763,0.44371557
P028	0.5417059,0.3922012,0.4940807,0.5702586,0.44229615,0.58637404,0.5374099,0.4291056,0.43933177,0.40423796
P030	0.43264198,0.41399062,0.58096075,0.6405164,0.5315599,0.54930997,0.4748049,0.42397776,0.4600771,0.45502523
P031	0.4826093,0.45220375,0.6603999,0.59395903,0.5296399,0.4779224,0.50288725,0.4008265,0.49955273,0.32234377
P033	0.40746692,0.76388603,0.6931038,0.6143479,0.75602055,0.8669281,0.7935264,0.27737293,0.33273345,0.56914973
P037	0.5523894,0.4781585,0.48281008,0.5418452,0.47349986,0.65230775,0.4995358,0.49803808,0.37539518,0.42504323
P039	0.37354833,0.7455797,0.87526035,0.81765306,0.80969095,0.6182209,0.84703577,0.19789797,0.27789414,0.2900368
P041	0.43957156,0.5262131,0.8033471,0.7910667,0.67158335,0.3898465,0.5820026,0.21873614,0.3898981,0.24715254
P049	0.3895152,0.6218177,0.66288364,0.6172121,0.6169188,0.56300783,0.6690727,0.31959164,0.46126887,0.49140579
P051	0.33029193,0.75583553,0.6801216,0.5869948,0.7856837,0.8325608,0.7916368,0.19864371,0.27341336,0.6650911
P055	0.38116208,0.82459307,0.65514404,0.56191254,0.7450946,0.9169551,0.8285309,0.26550996,0.35411683,0.62443393
P057	0.28361586,0.43503907,0.8363928,0.83005834,0.6277517,0.31588376,0.46760806,0.18150991,0.45449623,0.27936238
P058	0.27796483,0.34457368,0.83205914,0.8456124,0.5595151,0.39166272,0.4875164,0.193057,0.51577467,0.3207925
P059	0.30882564,0.28345,0.6991923,0.65114254,0.45553762,0.5798077,0.6482196,0.20304736,0.5289345,0.4430809
P061	0.5197551,0.23014694,0.7293837,0.763126,0.57430124,0.82591,0.4141292,0.2650017,0.31928265,0.30076355
P064	0.5038107,0.6900431,0.63642627,0.60898435,0.43671116,0.6341485,0.7417431,0.4761307,0.45125887,0.32459176
P105	0.3124984,0.6838895,0.7886728,0.722415,0.79468596,0.7772726,0.72897077,0.20334485,0.3213482,0.5611741
P071	0.47728288,0.69492275,0.47576922,0.48867565,0.551596,0.801036,0.75375867,0.43688157,0.4254229,0.57618916
P114	0.36135757,0.6505365,0.7137478,0.65837693,0.7142215,0.6704385,0.6695062,0.26028675,0.4124878,0.54751444
P080	0.3652258,0.68984294,0.6864498,0.64292383,0.6242762,0.62941706,0.7190465,0.2995314,0.39818376,0.47117543
P081	0.3374356,0.43038297,0.6413389,0.6491828,0.5954201,0.5118663,0.5409187,0.31678325,0.41050884,0.45198706
P111	0.525892,0.5948052,0.6024117,0.37120616,0.69992155,0.5742387,0.6257132,0.24040785,0.29205966,0.35228878
P090	0.5137478,0.22463676,0.38720864,0.43269694,0.47354677,0.626103,0.44833314,0.27691752,0.36081243,0.46456185
P005	0.44823536,0.673824,0.5617797,0.4734457,0.62470615,0.8952105,0.6418884,0.42756206,0.33799735,0.5775571
P099	0.4000672,0.5701115,0.374978,0.21911976,0.59108186,0.893121,0.6430404,0.3053637,0.27455807,0.67752314
P032	0.51218104,0.79029286,0.42713398,0.32588816,0.58882034,0.8913207,0.9122206,0.4587482,0.36542505,0.38161278
P035	0.3251606,0.5487661,0.6108163,0.5550207,0.6247319,0.69990456,0.44483483,0.36744678,0.3996565,0.62342906
P078	0.37414667,0.74663776,0.6522937,0.6452179,0.6344073,0.7264897,0.8247657,0.25907546,0.3602326,0.5707691
P084	0.52481186,0.912484,0.42070824,0.41951925,0.67992675,0.96349895,0.95502496,0.35984367,0.1987598,0.5203836
P088	0.4959858,0.8441199,0.3235087,0.35147995,0.520313,0.8742348,0.840293,0.45720676,0.40443894,0.61289924
P076	0.35980675,0.77053,0.35050026,0.28809345,0.5487406,0.64279974,0.72677606,0.3296753,0.3538401,0.64091563
P091	0.41646296,0.716943,0.42526537,0.35530183,0.45484528,0.5415597,0.6486453,0.4245658,0.47623074,0.5349924
P024	0.3252395,0.9231144,0.1641171,0.27540678,0.40221846,0.98375976,0.9364418,0.5105202,0.34976223,0.8720491
P101	0.38277382,0.69259393,0.51699686,0.31728047,0.61482245,0.64429116,0.7144861,0.29048747,0.35763466,0.5791959
P052	0.31333616,0.7309589,0.6847008,0.606868,0.77920544,0.8988632,0.621784,0.25498962,0.34537417,0.6985221
P054	0.45588708,0.80788994,0.42739618,0.33145615,0.52340084,0.87136734,0.7793622,0.4381996,0.43539098,0.5752756
P103	0.2885269,0.82657635,0.16480866,0.20926067,0.565756,0.9145876,0.80419654,0.254367,0.38620225,0.90758675
P107	0.3270374,0.83414614,0.47704613,0.5139888,0.58591765,0.93903685,0.83994305,0.43030605,0.30692053,0.7443697
P109	0.43886095,0.7134954,0.25513625,0.2588851,0.5926328,0.91850173,0.76504445,0.39445105,0.19838265,0.75882983
P070	0.43579736,0.82698375,0.32457903,0.18990788,0.70162326,0.9790094,0.86581194,0.36723465,0.23935696,0.6750239
P110	0.3343494,0.7172761,0.3019946,0.1522331,0.49889225,0.8220073,0.6298292,0.30507097,0.4918636,0.7277282
P072	0.5198897,0.9025099,0.6445642,0.5453626,0.83553505,0.992671,0.9478332,0.3256362,0.13545847,0.51203364
P073	0.4726978,0.90753126,0.56919175,0.5512141,0.6469455,0.97552854,0.9508517,0.38438514,0.28119886,0.51540834
P074	0.42917138,0.9140624,0.31352976,0.23988685,0.60072273,0.98922193,0.915552,0.40607807,0.34453514,0.73620844
P075	0.553935,0.91607034,0.38122943,0.39450645,0.63529086,0.98448056,0.92867815,0.43292022,0.23822743,0.5777902
P077	0.43952608,0.9119131,0.41314265,0.36427855,0.56959695,0.94447374,0.93563867,0.29499722,0.3848495,0.6123852
P079	0.35839385,0.9534806,0.42823774,0.6442083,0.6394348,0.9368718,0.9576838,0.2894956,0.2436916,0.7220007
P083	0.5400443,0.50678563,0.35711402,0.3948128,0.46941572,0.5108058,0.51938695,0.36059225,0.40040833,0.54338056
P085	0.22416526,0.85489106,0.49825647,0.40976846,0.66264486,0.92462146,0.7656237,0.25541654,0.43138102,0.8363526
P086	0.44383413,0.93922114,0.5651178,0.33115542,0.5715529,0.8985673,0.899624,0.33226818,0.2510068,0.37433803
P089	0.3817527,0.6281408,0.52341175,0.5015247,0.60995394,0.57142884,0.64934075,0.3742154,0.3657078,0.58169097
P112	0.22947866,0.7491544,0.08800432,0.042488545,0.49519163,0.82135266,0.68381834,0.12902561,0.26913553,0.91927814
P092	0.5916018,0.9413967,0.283583,0.37619147,0.63541603,0.9832045,0.97361493,0.41388065,0.2808926,0.52762127
P093	0.58722305,0.91645026,0.35875195,0.4373622,0.6508552,0.9538975,0.9123977,0.3758349,0.21464586,0.5171418
P094	0.35410494,0.6047794,0.37197644,0.2871039,0.567413,0.6353117,0.6579577,0.30318296,0.38806167,0.7053734
